Preparing directory CIFAR10_VGG19_500E
Using model VGG19
Loading dataset: CIFAR10
Files already downloaded and verified
Files already downloaded and verified
Preparing model
SWA and ASWA training
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
   1  7.4929    14.2267        13.9200         13.7867
   2  5.0876    14.3133        14.8867         14.6800
   3  5.6753    11.3600        10.0667         10.0867
   4  5.4394    10.4533         9.7933          9.6800
   5  5.3481    10.1933        10.1400         11.0733
   6  5.1797    10.1400        11.0000         10.5600
   7  4.9458     9.8800        10.6867         10.4933
   8  5.6979     9.1467        10.5267         10.3000
   9  5.0621     8.1400        10.1467          9.8933
  10  5.1446     9.9667         9.6667          8.8867
  11  4.8443     9.9867         9.0733          8.6533
  12  5.1619     9.9867         8.3533          9.9667
  13  4.6236     9.9867         8.6533          9.9800
  14  5.3765     9.9867         9.9600          9.9867
  15  4.9003     9.9867         9.9800          9.9867
  16  5.1384     9.9867         9.9800          9.9867
  17  5.3167    14.1333         9.9867          9.9867
  18  4.9713    15.5933         9.9867          9.9867
  19  5.1600    15.7800         9.9867          9.9867
  20  5.3840    15.9533         9.9867         12.2600
  21  5.0026    15.9533         9.9867         14.4333
  22  4.9296    15.9800         9.9933         15.0733
  23  5.2489    15.8267        10.0533         15.3000
  24  5.1805    15.6267        10.7067         15.5267
  25  6.6534    16.0267        11.7400         15.5667
  26  6.2379    16.0600        12.7200         15.7533
  27  6.9956    15.9933        13.2733         15.7267
  28  7.2462    15.7600        13.7533         15.7533
  29  6.5856    15.7733        14.2067         15.8267
  30  6.8903    16.0867        14.3400         15.7933
  31  7.0514    16.1000        14.5667         15.8600
  32  6.6624    16.0333        14.7400         15.9133
  33  6.6801    16.0600        14.9000         15.9000
  34  6.5616    16.1400        15.0667         15.9533
  35  6.6828    16.2133        15.0533         15.9267
  36  6.5816    16.1867        15.1333         15.9067
  37  7.0381    16.1133        15.2933         16.0000
  38  6.4735    16.2333        15.2733         16.0733
  39  6.9153    16.2133        15.3867         15.9067
  40  6.4305    16.4200        15.4133         15.9400
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
  41  6.7004    16.3067        15.4600         16.0267
  42  6.6113    17.0200        15.5067         16.0933
  43  6.8268    16.9200        15.5533         16.1000
  44  6.9315    17.4667        15.5733         16.1667
  45  6.6023    17.5200        15.6333         16.2267
  46  6.6598    19.0800        15.7267         16.1133
  47  6.6712    18.4067        15.6667         16.1733
  48  6.5979    18.1667        15.7067         16.3200
  49  6.6480    18.6467        15.8867         16.2000
  50  7.4481    18.9600        15.9067         16.1933
  51  7.1177    18.8133        15.8000         16.1733
  52  6.8358    17.5133        15.8867         16.3333
  53  6.6089    18.7800        15.9333         16.3867
  54  6.9218    19.2933        16.0000         16.3667
  55  6.2208    19.5533        15.9800         16.5733
  56  6.6914    20.1000        16.0067         16.4067
  57  6.9784    20.9467        16.0600         16.5267
  58  7.1530    21.2467        16.1000         16.7200
  59  6.6716    21.1667        16.2067         16.8133
  60  6.8518    21.3867        16.2133         17.0467
  61  6.8599    21.4933        16.1600         17.0333
  62  6.7791    21.0867        16.2867         17.0733
  63  7.0029    22.5800        16.3000         17.4333
  64  6.8470    22.3867        16.3467         17.6667
  65  6.8891    22.5600        16.3467         18.0000
  66  6.5764    19.3400        16.5733         18.4867
  67  6.7888    19.6800        16.5600         18.5733
  68  6.8389    20.6533        16.5333         18.8267
  69  6.5772    19.2800        16.8400         18.7800
  70  6.6806    19.8867        16.9867         18.5667
  71  6.6982    21.8000        17.1533         18.7867
  72  7.1538    22.0267        17.1933         18.4200
  73  7.1837    22.7333        17.3067         18.5867
  74  6.8473    22.6533        17.2733         18.6267
  75  7.4857    21.6533        17.3600         18.4533
  76  6.7310    21.9133        17.5400         18.7267
  77  7.1623    22.8333        17.5133         18.5267
  78  7.2430    23.9533        17.6133         18.7667
  79  6.8236    23.3600        17.8333         18.8000
  80  7.4755    23.5200        17.7600         18.9467
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
  81  6.7243    23.6933        18.1600         19.1800
  82  6.8005    23.5667        18.1267         19.4200
  83  6.5919    23.4600        18.2867         19.9133
  84  6.2639    23.2333        18.2667         20.2867
  85  6.9301    24.1533        18.5533         20.3467
  86  6.8210    23.6067        18.8467         20.5533
  87  6.7898    24.4467        18.6867         21.2933
  88  6.6693    23.5400        18.6133         21.3200
  89  6.8850    25.2800        18.9067         21.2000
  90  6.6371    24.7200        18.5933         21.4000
  91  7.0006    24.9333        18.7200         21.3533
  92  6.7249    25.1400        18.6800         21.6000
  93  7.3214    25.9067        18.5067         21.9400
  94  7.1152    26.0600        18.1933         22.1600
  95  6.5978    25.3067        18.4467         22.5267
  96  7.1046    25.7800        18.4467         22.7067
  97  6.7557    26.3333        18.3467         23.0267
