Preparing directory CIFAR10_VGG19_100E
Using model VGG19
Loading dataset: CIFAR10
Files already downloaded and verified
Files already downloaded and verified
Preparing model
SWA and ASWA training
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
   1  7.1050    14.5467        14.3600         14.1400
   2  4.9810    13.7000        15.2333         15.2600
   3  4.9174    10.5933        10.0400         10.0600
   4  5.4398    10.7467         9.9267          9.8400
   5  5.0634    10.2267         9.6333         10.3200
   6  5.3662    10.1400        10.4733         10.8000
   7  4.7979     9.6600        10.5533         10.5467
   8  4.9976     8.3467        10.4200         10.3933
   9  4.8817     7.6467         9.9000          9.8000
  10  5.1964     9.5333         9.2800          8.6867
  11  5.2582     9.4733         8.5200          7.8067
  12  4.9179     9.9533         8.3800          9.4000
  13  5.0126     9.9867         9.0200          9.6667
  14  4.9983     9.9867         9.9333          9.7933
  15  5.1989     9.9867         9.9800          9.9667
  16  4.7572     9.9867         9.9800          9.9867
  17  4.9244    10.1667         9.9867          9.9867
  18  5.5300    15.2733         9.9867          9.9867
  19  4.9825    15.7667         9.9867          9.9867
  20  5.3498    15.9667         9.9867         10.0067
  21  5.3727    15.9933         9.9867         11.9200
  22  5.5215    15.9933         9.9867         14.1600
  23  5.1437    15.8067        10.0000         14.7933
  24  4.9376    15.6200        10.3667         15.0733
  25  5.3016    15.9667        11.4000         15.3333
  26  5.0261    16.0400        12.4867         15.4667
  27  5.0362    15.9333        13.1400         15.5600
  28  5.0003    15.7200        13.6867         15.6467
  29  4.9905    15.8000        14.1000         15.6733
  30  5.1796    16.1000        14.2533         15.6600
  31  5.1214    16.1067        14.4733         15.7267
  32  4.9989    16.0800        14.6667         15.8333
  33  5.0160    15.9933        14.8667         15.8267
  34  5.0527    16.1133        15.0267         15.8333
  35  4.9922    16.1267        15.0000         15.8400
  36  5.1402    16.0733        15.0800         15.8200
  37  5.1014    15.8733        15.2600         15.9333
  38  4.9645    15.9933        15.1800         15.9600
  39  5.7130    16.0400        15.3267         15.8933
  40  6.0119    16.2000        15.3800         15.9400
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
  41  6.5903    16.1133        15.4467         16.0600
  42  6.4558    16.6200        15.4733         15.9933
  43  5.9652    17.2600        15.5267         16.0800
  44  5.8703    17.3400        15.5867         16.0333
  45  5.7677    17.2333        15.6200         16.1600
  46  5.9266    17.1267        15.7267         16.0333
  47  5.9043    19.0533        15.6533         16.0733
  48  5.0829    17.7533        15.6800         16.2333
  49  4.4367    17.6133        15.8533         16.1333
  50  5.4325    17.7333        15.8067         16.1000
  51  5.1050    18.6733        15.7267         16.1600
  52  4.9573    17.8333        15.7800         16.3133
  53  5.3752    18.2000        15.8333         16.2467
  54  5.2658    18.8200        15.8267         16.3467
  55  5.3755    18.6600        15.8867         16.4467
  56  5.0310    18.9800        15.8667         16.3867
  57  5.1044    20.3800        15.9333         16.5667
  58  4.9561    21.2067        16.0333         16.5267
  59  5.3411    21.6000        16.0867         16.5067
  60  5.0037    21.2000        16.1000         16.7400
  61  5.0273    22.2200        16.0867         16.7000
  62  4.9676    20.9733        16.2333         16.7467
  63  4.9162    17.7200        16.2933         16.9800
  64  5.3269    21.8600        16.2667         17.4600
  65  4.8669    19.0867        16.2533         17.7867
  66  4.9265    20.8933        16.3867         18.1867
  67  4.9868    20.1200        16.3533         18.3000
  68  5.0858    18.4667        16.3467         18.4333
  69  5.1268    19.7667        16.5533         18.3133
  70  5.6876    19.7200        16.6667         18.2533
  71  5.3398    19.7467        16.7867         18.1467
  72  4.9629    20.5067        16.8200         17.9667
  73  5.0556    19.4800        16.8267         17.9133
  74  5.2374    21.0867        16.9200         18.0400
  75  5.7198    20.4200        17.0400         17.8800
  76  5.0217    20.4533        17.0200         18.1267
  77  5.3482    22.4267        17.1467         17.9200
  78  5.6164    22.5800        17.1467         18.2800
  79  4.9786    21.2667        17.4133         18.1333
  80  5.3040    22.0333        17.2200         18.3000
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
  81  5.1940    21.7067        17.5400         18.3400
  82  5.3717    22.2200        17.5933         18.4333
  83  5.3385    23.1867        17.6267         18.4267
  84  5.3468    22.9400        17.7200         18.6533
  85  5.2576    23.4667        17.9400         18.5400
  86  5.3846    23.3933        18.1200         18.6267
  87  4.9386    23.8000        18.1800         18.9000
  88  5.0425    24.1000        18.0133         19.0400
  89  5.3268    23.1733        18.6000         19.2133
  90  5.2728    22.5200        18.4067         19.6000
  91  5.2482    21.9733        18.3867         19.5933
  92  5.3476    21.9533        18.1933         19.7933
  93  5.2640    22.0733        18.2733         20.4000
  94  5.0582    23.9200        17.9467         20.0733
  95  4.9662    23.8067        18.1000         20.1733
  96  5.1384    24.4600        18.0600         20.1933
  97  5.7100    23.7267        18.1067         20.2000
