Preparing directory CIFAR10_VGG16BN_500E
Using model VGG16BN
Loading dataset: CIFAR10
Files already downloaded and verified
Files already downloaded and verified
Preparing model
SWA and ASWA training
----  -------  ---------  -------------  --------------
  ep     time    Val-acc    SWA-val-acc    ASWA-val-acc
----  -------  ---------  -------------  --------------
   1  14.5680    10.0867        11.8267         12.1800
   2  11.7151    10.3933        13.6867         13.2067
   3  11.3336     9.7733        15.2067         15.0067
   4  11.0823     9.7733        15.7000         15.7200
   5  11.3790     9.7733        16.7600         16.9000
   6  11.7417    10.8867        17.4533         18.0000
   7  12.6940     9.4933        18.5200         18.6467
   8  12.6665     9.4867        19.0733         19.3467
   9  12.5696     9.4867        18.5200         19.2800
  10  12.2620     9.4867        18.8800         18.8400
  11  12.2856     9.4867        19.4067         19.1867
  12  12.6507     9.4867        19.5067         19.4533
  13  12.2945     9.4867        19.4933         19.7333
  14  12.1580     9.4933        19.6333         19.5200
  15  12.3020     9.5400        20.1600         20.0000
  16  11.9463     9.7800        20.0533         20.2800
  17  11.5262    10.2333        20.0200         20.3400
  18  11.3144    10.8867        20.5267         20.8200
  19  11.5607    11.6733        21.1067         21.8000
  20  11.3857    12.4467        21.1333         21.4733
  21  11.4566    13.2133        21.5733         21.9533
  22  11.8064    13.7133        21.9533         22.0000
  23  11.1211    14.0133        22.1467         22.0933
  24  11.6115    14.3733        22.4133         22.3867
  25  11.8111    14.6000        22.6933         22.6333
  26  11.7079    14.8667        22.7733         23.2200
  27  11.6403    15.4533        23.3600         23.4867
  28  11.4512    16.4600        23.4600         23.8467
  29  12.1702    17.9667        23.5067         23.9667
  30  11.3921    19.2133        24.0400         24.4333
  31  11.2817    20.4333        24.4467         24.3067
  32  11.3598    20.8200        24.6267         24.8000
  33  11.6286    21.4067        24.6600         25.1933
  34  11.7195    22.4133        24.9067         25.2133
  35  11.5333    22.5133        24.7867         25.8067
  36  11.3885    22.5733        25.6800         26.1000
  37  11.3110    23.1333        25.9800         26.3133
  38  11.5472    23.8867        25.8867         26.3067
  39  11.3104    24.9133        25.9333         26.6267
  40  11.5884    25.5200        26.1133         26.9000
----  -------  ---------  -------------  --------------
  ep     time    Val-acc    SWA-val-acc    ASWA-val-acc
----  -------  ---------  -------------  --------------
  41  11.9680    26.2733        26.7600         26.9867
  42  11.6528    25.8200        26.5667         27.5733
  43  11.5065    25.6267        27.1867         27.5867
  44  11.3484    24.5400        27.2200         28.1533
  45  11.1756    24.4867        27.7067         28.5067
  46  11.3472    25.8467        27.6200         28.6667
  47  11.6382    28.0333        28.4400         28.7600
  48  11.1736    30.8533        28.4600         28.9467
  49  11.5041    33.2467        28.6733         29.6067
  50  11.6913    34.2533        29.0400         30.1867
  51  11.5093    34.6600        29.3333         30.0933
  52  11.8158    34.5333        29.9733         30.3133
  53  12.0179    34.0333        29.8600         30.9000
  54  11.5742    32.8467        30.2133         31.2533
  55  11.4481    31.6667        30.3800         31.5933
  56  11.1128    32.5933        30.7533         31.6467
  57  11.2529    34.2000        31.2467         32.2467
  58  11.3642    34.7000        31.1133         32.1933
  59  11.1785    34.7533        31.3467         32.7067
  60  11.4505    35.5267        31.7067         32.7600
  61  11.4830    35.4133        31.8333         33.0467
  62  11.2602    35.6200        32.1667         33.0400
  63  11.2456    34.9200        32.2933         33.5333
  64  11.4822    36.4267        32.5400         33.5467
  65  11.2280    38.2867        33.0067         33.9733
  66  11.1988    39.1600        33.5733         34.1933
  67  11.3763    40.5800        32.9267         34.3933
  68  11.0587    40.4200        33.2600         34.3667
  69  11.4574    40.5267        33.5867         34.8067
  70  11.3396    40.6800        34.0600         34.8067
  71  11.4544    39.7933        33.8667         35.0733
  72  11.5223    39.1400        34.5400         35.6000
  73  12.7337    39.1800        34.6333         35.7600
  74  13.2366    41.9867        34.6733         35.9867
  75  13.3488    43.2067        34.8333         35.9533
  76  12.1012    43.1733        35.0400         36.1267
  77  11.0946    41.8800        35.1467         36.2800
  78  11.5646    41.8733        35.5733         37.0333
  79  11.6695    41.9867        35.8467         37.0600
  80  12.5457    42.2400        35.3733         36.9200
----  -------  ---------  -------------  --------------
  ep     time    Val-acc    SWA-val-acc    ASWA-val-acc
----  -------  ---------  -------------  --------------
  81  11.0503    41.9400        35.7133         37.5067
  82  11.1319    42.3600        35.9600         37.4200
  83  11.6953    43.4733        36.2600         37.3467
  84  11.5952    44.5333        36.1533         37.7200
  85  11.4095    45.1867        36.6600         38.0333
  86  11.9906    45.5600        36.5067         38.5267
  87  11.1098    44.8000        37.1267         38.2533
  88  11.9762    43.1733        37.2333         38.4800
  89  11.6512    43.9867        37.4000         38.9867
  90  11.2449    44.4333        37.9267         38.8067
  91  12.0663    45.6533        37.8733         39.2667
  92  11.5678    46.2933        38.3000         39.3333
  93  11.7666    47.0733        37.7733         39.3000
  94  12.5743    47.6933        37.9800         39.2600
  95  13.1098    47.0600        38.2800         39.5933
  96  12.7262    46.3200        38.2867         39.6467
