Preparing directory CIFAR10_VGG16BN_300E
Using model VGG16BN
Loading dataset: CIFAR10
Files already downloaded and verified
Files already downloaded and verified
Preparing model
SWA and ASWA training
----  -------  ---------  -------------  --------------
  ep     time    Val-acc    SWA-val-acc    ASWA-val-acc
----  -------  ---------  -------------  --------------
   1  15.3939    10.0867        11.8067         12.1800
   2  12.7719    10.3800        13.6733         13.1800
   3  11.8173     9.7733        15.1133         15.0800
   4  12.4162     9.7733        15.6000         15.6333
   5  12.1881     9.7733        16.7733         16.9000
   6  12.6403    10.4600        17.4733         17.7267
   7  12.3110     9.4600        18.7133         18.7400
   8  10.9988     9.4867        18.6867         19.4867
   9  10.2642     9.4867        18.4733         19.3333
  10  10.6628     9.4867        18.9667         18.9000
  11  10.3162     9.4867        19.3800         19.3467
  12  11.2671     9.4867        19.4200         19.1867
  13  10.4396     9.4867        19.3133         19.4800
  14  10.9586     9.4867        19.7800         19.5133
  15  10.8144     9.5267        20.1000         19.6667
  16  10.4494     9.6400        20.0333         20.5000
  17  10.8062    10.1333        20.0000         20.3800
  18  10.2898    10.7733        20.6400         20.6867
  19  10.6584    11.6000        20.8200         21.4467
  20  11.2763    12.4333        20.9800         21.1067
  21  10.6655    13.3333        21.3733         21.8667
  22  10.5972    13.7933        22.0600         21.6400
  23  10.9391    14.1800        22.2333         22.0400
  24  10.5044    14.4533        22.2000         22.4733
  25  11.2126    14.6867        22.7467         22.3067
  26  10.8197    14.9267        23.0267         23.1200
  27  10.5185    15.3867        23.3733         23.5467
  28  11.0952    16.1267        23.5333         23.8533
  29  10.6813    17.6867        23.6533         24.0733
  30  11.4951    18.9933        24.0667         24.1800
  31  10.2126    20.1467        24.3400         24.4000
  32  10.6405    20.9400        24.3733         24.9467
  33  10.5017    21.5133        24.3067         25.1867
  34  11.1992    22.2133        25.0000         25.3067
  35  10.6790    22.7800        24.8733         26.0067
  36  11.0430    23.0800        25.6000         26.0467
  37  10.7133    23.5533        25.7267         26.1533
  38  10.6885    24.2933        25.5600         26.2133
  39  10.3623    24.9133        25.9867         26.4467
  40  11.0172    25.4600        25.9733         26.8067
----  -------  ---------  -------------  --------------
  ep     time    Val-acc    SWA-val-acc    ASWA-val-acc
----  -------  ---------  -------------  --------------
  41  10.7204    26.3800        26.7867         26.7933
  42  11.2827    26.1133        26.7533         27.4333
  43  10.8197    25.5400        26.8067         27.5533
  44  11.0203    24.0933        27.1200         28.1133
  45  10.4944    23.9333        27.6867         28.6000
  46  11.1181    24.8667        27.8333         28.6600
  47  10.5353    27.2267        28.2867         28.9867
  48  10.9453    29.6867        28.5467         29.2400
  49  10.7397    32.5667        28.6933         29.2667
  50  10.7024    33.6400        29.0533         30.0333
  51  10.9604    34.4000        29.2600         29.9800
  52  10.7556    34.0933        29.6733         30.1200
  53  10.7318    33.1667        29.8467         31.0000
  54  10.6301    31.9000        30.1067         31.1667
  55  10.9249    30.9800        30.5000         31.7800
  56  11.7052    32.2667        30.8200         31.5800
  57  13.4393    34.1133        31.0933         32.2800
  58  12.2175    34.7200        31.4533         32.3000
  59  12.1423    35.1400        31.4733         32.9200
  60  12.2037    35.6667        31.7667         32.6867
  61  11.8474    35.4600        31.7533         33.0200
  62  12.2842    35.4533        32.2800         33.3733
  63  12.4418    35.1467        32.5733         33.9667
  64  12.5850    37.3533        32.6133         33.8267
  65  12.6144    39.0267        33.0733         33.9667
  66  12.3189    40.3533        33.6333         34.4200
  67  12.0244    40.8400        33.1467         34.3867
  68  12.3361    41.1333        33.3733         34.6533
  69  11.9469    40.7200        33.8133         35.4600
  70  12.5540    40.8267        34.2867         35.1400
  71  12.2635    39.4267        34.1667         35.1867
  72  12.3315    39.2600        34.3533         35.7733
  73  12.1237    39.9533        34.8467         35.8467
  74  12.2040    42.8000        34.9200         36.1467
  75  12.6049    42.3400        35.1600         35.8933
  76  12.2153    41.6333        35.0067         36.3133
  77  12.1471    41.0067        35.8267         36.6800
  78  12.0424    41.2400        35.7600         37.2133
  79  12.0071    41.6800        35.8800         37.2400
  80  12.6060    41.9533        35.7467         36.8400
----  -------  ---------  -------------  --------------
  ep     time    Val-acc    SWA-val-acc    ASWA-val-acc
----  -------  ---------  -------------  --------------
  81  12.2376    41.6333        35.9533         37.5267
  82  12.2358    41.2333        36.2800         37.3467
  83  13.1501    42.0333        36.4800         37.6000
  84  12.1673    43.2867        36.6467         37.8267
  85  12.4941    44.3733        36.8733         38.0000
  86  12.1266    44.9000        36.6533         38.6600
  87  12.4708    44.2400        36.8733         38.2667
  88  12.4085    44.0267        37.4600         38.6467
  89  11.7786    45.2800        37.4400         39.2667
  90  12.5127    45.7667        37.7933         39.0533
  91  12.5208    46.1533        38.2867         39.0933
  92  12.5630    46.8133        38.4867         39.0000
  93  11.9662    47.2467        38.1133         39.3133
  94  12.6364    47.9000        37.9733         39.1533
  95  12.4972    47.4467        38.4667         39.3000
  96  12.3275    46.1267        38.4333         39.7067
