Preparing directory CIFAR10_VGG19BN_100E
Using model VGG19BN
Loading dataset: CIFAR10
Files already downloaded and verified
Files already downloaded and verified
Preparing model
SWA and ASWA training
----  -------  ---------  -------------  --------------
  ep     time    Val-acc    SWA-val-acc    ASWA-val-acc
----  -------  ---------  -------------  --------------
   1  15.2153    11.5067        12.6867         12.3533
   2  13.0318     9.9867        13.5267         13.5800
   3  12.6363     9.9867        14.5600         14.2600
   4  12.4645     9.9867        15.3000         15.2267
   5  12.6637     9.9867        15.0400         15.0600
   6  12.4637    10.7600        15.2133         15.3467
   7  12.5841     9.4867        15.3000         15.2467
   8  12.4752     9.4867        15.7933         15.2867
   9  12.5780     9.4867        15.7533         16.2000
  10  12.1880     9.4867        15.9800         16.1533
  11  12.3642     9.4867        16.5800         16.4733
  12  12.4583     9.4867        16.9533         17.0333
  13  12.4854     9.4867        17.4333         17.5067
  14  12.4371     9.4933        17.9067         17.9800
  15  12.3406     9.5000        18.3800         18.5733
  16  12.9866     9.4933        18.3600         18.5467
  17  12.8468     9.5200        18.9533         19.3867
  18  11.9602     9.5933        19.1200         19.9467
  19  12.9565     9.9000        19.7133         19.8267
  20  12.6191    10.5867        19.8267         20.1733
  21  12.9665    11.4533        20.3000         20.5667
  22  13.0432    12.6267        21.3933         21.3200
  23  12.4383    13.8200        21.1600         21.8533
  24  11.9186    14.4933        21.9533         21.9467
  25  11.3018    15.8400        22.2200         22.4133
  26  9.9941    17.5400        22.3733         22.7667
  27  10.3009    19.0267        23.5333         23.4067
  28  11.2769    20.4400        23.2533         23.7533
  29  11.2772    21.8733        23.6267         24.2800
  30  12.9876    23.1267        24.0667         24.2333
  31  11.7420    24.1733        24.2333         24.5067
  32  11.9043    24.6333        24.3533         24.8800
  33  12.1419    25.0133        24.6067         24.9933
  34  12.2671    25.6867        24.6800         25.2867
  35  12.0137    26.6400        25.1667         25.1867
  36  11.8352    27.3133        25.3800         25.5600
  37  11.8518    27.4200        25.6133         26.1067
  38  12.1078    27.9867        25.7600         26.4200
  39  12.0072    28.3467        26.5467         26.4600
  40  11.7215    28.1067        26.8400         26.6867
----  -------  ---------  -------------  --------------
  ep     time    Val-acc    SWA-val-acc    ASWA-val-acc
----  -------  ---------  -------------  --------------
  41  11.6788    28.7933        26.9800         27.3000
  42  11.9266    28.4000        27.3467         27.4533
  43  11.8203    29.4333        27.7000         28.0267
  44  11.7023    30.3400        27.5133         28.0733
  45  12.0053    31.5733        27.8200         28.2467
  46  12.1242    32.3600        28.4133         28.8467
  47  12.0880    34.1267        28.1333         29.0467
  48  11.9293    34.5200        28.5067         28.9400
  49  11.9068    34.0667        29.1933         29.5933
  50  12.6122    32.3400        29.0000         29.8133
  51  11.9046    32.8600        29.4200         30.1667
  52  11.9368    33.7733        30.1600         30.3733
  53  11.9860    34.2267        29.8267         31.0267
  54  11.9268    34.1933        30.6400         31.0267
  55  12.5668    34.8600        31.1533         31.3400
  56  11.9178    36.0600        30.8800         31.6600
  57  12.0897    37.3667        31.3067         31.9733
  58  11.8641    38.2000        31.3200         32.3867
  59  11.8053    37.6733        31.9400         32.7933
  60  12.0447    35.6733        32.0533         32.9067
  61  11.8415    35.5733        32.3533         33.6000
  62  11.7153    36.9200        32.7800         33.7267
  63  12.3520    37.5133        33.0600         33.6933
  64  11.5665    38.3733        33.3067         33.8467
  65  11.6982    37.4333        33.2533         33.9533
  66  11.9005    37.4200        33.7533         34.6400
  67  11.7972    37.6800        33.6933         35.0600
  68  12.0883    39.8600        33.9067         34.7133
  69  12.0922    40.3533        34.6667         35.0200
  70  11.6255    41.3467        34.3400         35.4267
  71  11.7025    41.1867        35.2067         35.7200
  72  12.4730    40.7800        35.3267         36.1067
  73  13.2223    40.3933        35.7933         36.3200
  74  13.3144    39.8600        35.2400         36.2200
  75  13.1642    41.0800        35.8867         36.6133
  76  12.7633    39.9200        35.9467         36.6600
  77  14.3092    39.9467        35.9733         36.8000
  78  14.1826    40.8533        36.3400         37.0267
  79  14.1613    41.7933        36.6067         37.6400
  80  14.0538    43.6867        36.7533         37.6333
----  -------  ---------  -------------  --------------
  ep     time    Val-acc    SWA-val-acc    ASWA-val-acc
----  -------  ---------  -------------  --------------
  81  12.8134    44.7000        36.9600         37.8733
  82  12.6240    44.4667        37.1000         38.0467
  83  11.8532    44.2333        37.0933         38.1400
  84  11.8725    44.0400        37.2000         38.6467
  85  11.9987    44.7533        37.5467         38.3067
  86  11.8236    45.3333        37.3467         38.5333
  87  12.0334    45.5067        37.6533         38.8267
  88  11.9984    44.9400        38.2133         38.9000
  89  12.2474    45.5000        38.2000         39.1733
  90  11.7469    45.2933        38.1400         39.2000
  91  12.2575    43.4333        38.0667         39.5267
  92  11.7441    43.6267        38.4400         39.7467
  93  11.8258    46.2133        39.1400         39.9200
  94  11.6738    46.0400        38.6600         40.1600
  95  11.7667    45.3867        39.2733         40.2867
  96  11.6327    47.1133        39.1467         40.1267
