Preparing directory CIFAR10_VGG16_300E
Using model VGG16
Loading dataset: CIFAR10
Files already downloaded and verified
Files already downloaded and verified
Preparing model
SWA and ASWA training
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
   1  7.0271    10.0867        10.0867         10.0867
   2  4.7936    10.5533        10.1333         10.4600
   3  5.0626    10.2133        10.2533         10.3867
   4  5.2633    10.5133        10.5200         10.5933
   5  4.7880    12.3400        10.7000         11.2533
   6  4.8344    13.7400        11.2800         12.2133
   7  4.9396    12.9600        12.2400         13.0733
   8  4.8846    11.0000        13.1933         13.7267
   9  5.7312    11.0933        13.2933         13.5400
  10  5.8516    11.0067        13.2067         12.9333
  11  6.2060    10.7800        12.8800         12.0867
  12  5.6449    10.9733        12.2867         11.4667
  13  5.7217    10.0600        12.1133         11.4267
  14  5.7745    11.0333        11.9400         11.6400
  15  5.6418    11.9267        11.8467         11.6067
  16  5.5851    18.2667        11.8000         11.8867
  17  5.4421    17.7000        11.8667         12.1800
  18  5.3059    16.7733        11.8600         12.2800
  19  4.1979    15.3400        11.8667         12.2667
  20  4.4816    14.9933        12.0333         12.2467
  21  4.6852    16.3733        12.0667         14.0467
  22  5.0535    17.4733        12.1400         15.4467
  23  5.3225    17.0333        12.2067         16.2267
  24  4.4816    16.1000        12.1533         16.7067
  25  5.0738    15.4667        12.4200         16.7067
  26  5.2987    15.0933        13.3333         16.5867
  27  5.0352    16.3400        13.8067         16.7067
  28  4.7550    16.8333        14.7800         16.6933
  29  4.7456    18.3400        15.3667         16.9733
  30  5.0418    19.0067        15.5400         17.2933
  31  4.6103    18.9267        15.8867         17.3733
  32  4.9047    19.4933        16.3400         17.4200
  33  5.0071    19.5667        16.3733         17.4600
  34  4.9125    19.5267        16.5200         17.6533
  35  5.0404    19.4267        16.7467         17.6067
  36  5.0183    20.3733        17.1267         18.0667
  37  4.9138    19.5800        17.1333         18.1200
  38  4.8375    19.9067        17.3933         18.3333
  39  4.9829    19.6133        17.4000         18.3067
  40  4.7314    19.6800        17.9800         18.7267
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
  41  5.0873    20.9333        17.7467         18.5800
  42  4.7290    23.7133        18.0867         18.9000
  43  4.8482    23.5533        18.1800         18.8800
  44  4.7395    22.8467        18.2933         19.2133
  45  4.8990    22.9067        18.5000         19.2600
  46  4.7402    22.9267        18.8933         18.9333
  47  4.8307    23.5467        18.5400         20.0533
  48  5.1251    23.5800        18.8600         20.9733
  49  5.0638    23.9667        19.0267         21.9333
  50  5.1970    23.9200        18.9600         22.6200
  51  4.9194    24.3200        19.3867         23.3467
  52  4.8321    24.6733        19.6000         23.3933
  53  5.0775    24.0133        19.4333         23.4533
  54  4.9020    24.3600        19.9533         23.7933
  55  5.1844    24.3200        20.1867         23.8867
  56  5.1284    24.4000        20.8467         23.7933
  57  5.1548    25.0400        21.3600         23.4800
  58  4.8633    25.1467        21.8133         23.6533
  59  5.1785    25.4400        22.3533         23.6400
  60  4.8804    24.7000        22.6667         23.9133
  61  4.8559    25.4933        22.8800         24.1200
  62  4.9936    25.1133        22.8667         24.0800
  63  4.9604    25.0733        23.1267         24.0333
  64  4.9829    26.1133        23.2133         24.2000
  65  5.2019    24.6533        23.5867         24.1267
  66  5.4063    25.8200        23.4200         24.2867
  67  4.9254    24.1600        23.4600         24.3867
  68  4.8285    26.0267        23.6933         24.3933
  69  4.8837    25.2667        23.4333         24.4200
  70  4.9909    26.0800        23.9000         24.3800
  71  4.7813    26.5667        23.7667         24.5667
  72  4.8911    26.3333        23.5933         24.5867
  73  4.8544    25.7800        23.8467         24.4600
  74  5.2208    25.4600        23.9067         24.7933
  75  5.3256    25.4600        24.2400         24.7000
  76  5.3852    25.8733        23.8667         24.9800
  77  5.0080    25.0733        24.3667         24.8667
  78  4.8434    27.9400        24.3200         25.0133
  79  5.0001    25.3667        24.0667         25.0067
  80  5.0946    27.2600        24.4133         25.1733
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
  81  4.7807    27.4800        24.2933         24.9400
  82  4.9826    26.2800        24.7200         25.2733
  83  4.9833    28.2267        24.3533         25.0133
  84  4.9739    26.8867        24.8333         25.2200
  85  4.8901    27.9200        24.3533         25.0533
  86  4.6128    26.9933        24.7000         24.9067
  87  5.3660    27.1933        24.4800         25.2467
  88  4.6732    28.7600        24.7333         25.3067
  89  5.0023    28.0067        24.8000         25.1667
  90  4.9883    28.7733        24.9067         25.1067
  91  5.0724    28.2533        24.2600         25.1133
  92  5.0682    28.4533        25.2267         25.9133
  93  4.7942    27.9933        25.3267         25.5000
  94  4.9283    29.3267        24.9067         25.6733
  95  6.1417    29.6200        24.9000         25.4800
  96  6.0008    27.2467        24.9000         25.7333
  97  5.7505    28.8600        24.9467         25.6867
