Preparing directory CIFAR10_VGG16BN_200E
Using model VGG16BN
Loading dataset: CIFAR10
Files already downloaded and verified
Files already downloaded and verified
Preparing model
SWA and ASWA training
----  -------  ---------  -------------  --------------
  ep     time    Val-acc    SWA-val-acc    ASWA-val-acc
----  -------  ---------  -------------  --------------
   1  11.9882    10.0867        11.8000         12.1667
   2  11.3426    10.3800        13.6533         13.2533
   3  9.8893     9.7733        15.1000         15.0533
   4  10.1033     9.7733        15.5200         15.7733
   5  9.9544     9.7733        16.8400         17.0267
   6  10.1486    10.9267        17.4667         17.9467
   7  9.8289     9.4667        18.5667         18.7933
   8  10.3245     9.4867        18.9933         19.3867
   9  10.3140     9.4867        18.8333         19.4000
  10  10.6059     9.4867        19.1000         18.9600
  11  10.4693     9.4867        19.7600         19.4200
  12  10.5890     9.4867        19.5333         19.6267
  13  10.2438     9.4867        19.5533         19.8800
  14  10.2267     9.4867        19.9133         19.6933
  15  10.4342     9.5333        20.1400         20.0800
  16  10.7441     9.6933        20.2200         20.5600
  17  10.5248    10.1600        20.2067         20.4333
  18  10.3905    10.8133        20.7933         21.0067
  19  10.1634    11.6133        21.2333         21.8600
  20  10.4652    12.3267        21.0733         21.4200
  21  10.4617    13.1000        21.6733         21.8533
  22  10.5353    13.6400        21.9667         21.8200
  23  10.6266    14.0400        22.4200         21.9667
  24  10.7100    14.3067        22.6600         22.3867
  25  10.7728    14.5733        22.9000         22.5400
  26  10.4099    14.6933        23.0333         23.2600
  27  10.4026    15.2133        23.5333         23.7400
  28  10.5596    16.0200        23.7733         23.6867
  29  10.4888    17.2333        23.6667         24.2733
  30  10.6943    18.5467        24.1800         24.4200
  31  11.2982    19.8333        24.2733         24.3667
  32  10.0728    20.3800        24.3867         24.8000
  33  10.6525    20.9333        24.9867         25.2267
  34  10.9093    21.6200        24.9933         25.2467
  35  10.5214    22.0600        24.9400         25.5933
  36  10.5097    21.9267        25.6267         25.7733
  37  10.4715    22.4200        25.9600         26.3267
  38  10.8261    23.5467        25.9800         26.3733
  39  10.7039    24.6067        26.1867         26.2067
  40  10.5313    25.6733        26.4200         26.9133
----  -------  ---------  -------------  --------------
  ep     time    Val-acc    SWA-val-acc    ASWA-val-acc
----  -------  ---------  -------------  --------------
  41  10.3609    26.4000        27.2467         26.8267
  42  10.5783    26.3733        26.7600         27.4333
  43  10.6295    26.0133        27.2933         27.5333
  44  10.5504    24.4733        27.4400         28.2067
  45  10.4771    24.0067        27.7667         28.3400
  46  11.0743    24.8867        28.1667         28.6467
  47  10.2524    26.9333        28.5200         28.6867
  48  10.5356    29.5000        28.5467         28.8200
  49  10.4046    32.5267        28.7067         29.2067
  50  11.0088    33.5267        29.2400         29.8867
  51  10.3689    34.2733        29.4600         29.8800
  52  10.6256    34.4267        29.7667         30.1133
  53  10.3219    34.0867        30.0133         30.4667
  54  10.4849    33.1533        30.2933         31.1867
  55  10.6743    32.0600        30.6400         31.4933
  56  10.6565    33.3533        30.9467         31.4600
  57  10.6985    34.2267        31.3133         31.9467
  58  10.6450    34.9133        31.4800         32.0533
  59  10.1641    35.2267        31.4600         32.8333
  60  11.0785    35.5800        31.9000         32.5733
  61  10.5560    35.4067        31.8933         32.8467
  62  10.5570    35.5800        32.5067         32.9933
  63  11.0451    35.2600        32.4400         33.2667
  64  10.8776    37.3667        32.7133         33.6867
  65  10.2465    38.7200        33.0067         33.9000
  66  9.8647    39.7400        33.4200         34.1600
  67  10.8180    40.7133        33.2200         34.1933
  68  10.7765    40.5667        33.7867         34.4600
  69  10.7106    40.3933        34.0200         34.6800
  70  10.7923    40.7400        34.2333         34.4733
  71  10.1883    40.9600        34.1200         34.8400
  72  10.6125    40.6733        34.2933         35.4133
  73  10.2676    40.5533        34.5800         35.4333
  74  10.7303    42.4400        34.7067         35.8800
  75  11.1007    42.9667        35.0733         35.7533
  76  10.3237    42.2800        34.9467         35.8733
  77  10.1663    41.8933        35.4267         36.3133
  78  10.0661    41.9400        35.5067         36.8267
  79  10.6112    42.0067        36.0200         36.9200
  80  10.4975    43.0000        35.8333         36.7133
----  -------  ---------  -------------  --------------
  ep     time    Val-acc    SWA-val-acc    ASWA-val-acc
----  -------  ---------  -------------  --------------
  81  10.7290    42.7533        35.9133         37.4667
  82  10.5541    42.8933        36.0533         37.2733
  83  10.2154    43.8133        36.3267         37.0667
  84  10.0576    44.6267        36.2667         37.3867
  85  10.2775    44.9200        36.6733         37.6133
  86  10.4383    45.6000        36.5733         38.2533
  87  10.4499    44.2533        36.7667         38.0467
  88  10.5865    42.9733        36.9400         38.3533
  89  11.0104    44.5200        37.3133         38.8800
  90  10.5530    45.0533        37.8133         38.6133
  91  10.6805    45.5533        37.7267         39.1467
  92  10.3271    45.9867        38.1867         38.8533
  93  10.6931    46.4000        37.8533         39.0800
  94  10.8221    47.1667        37.8133         39.1933
  95  10.8185    46.7200        38.6400         39.4467
  96  10.5935    46.5000        38.6000         39.4267
