Preparing directory CIFAR10_VGG19_300E
Using model VGG19
Loading dataset: CIFAR10
Files already downloaded and verified
Files already downloaded and verified
Preparing model
SWA and ASWA training
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
   1  7.3137    14.5400        14.3533         14.1467
   2  5.1520    13.7000        15.1467         15.2133
   3  5.2885    10.4800        10.0267         10.0733
   4  5.4276    10.7400         9.9267          9.8867
   5  5.1189    10.2400         9.6000         10.3733
   6  4.9499    10.1400        10.4533         10.7867
   7  5.0916     9.5067        10.4733         10.6067
   8  5.1184     7.8800        10.1933         10.1667
   9  4.9981     7.5867         9.3933          9.1800
  10  5.2635     9.7133         8.7600          8.1000
  11  5.2300     9.9867         8.5800          8.8933
  12  5.0143     9.9867         9.1133          9.9267
  13  5.2838     9.9867         9.9667          9.9800
  14  5.2316     9.9867         9.9867          9.9800
  15  4.9804     9.9867         9.9867          9.9867
  16  4.9287     9.9867         9.9867          9.9867
  17  5.3346    13.7800         9.9867          9.9867
  18  5.3297    15.5333         9.9867          9.9867
  19  5.3223    15.7933         9.9867          9.9867
  20  5.9549    15.9667         9.9867          9.9933
  21  6.3570    15.9733         9.9867         11.3533
  22  5.8425    15.9800         9.9933         13.5467
  23  6.0269    15.7933        10.0200         14.3867
  24  6.0102    15.5867        10.5800         14.7667
  25  7.0293    15.9933        11.5467         15.0467
  26  5.2214    16.0400        12.6267         15.3133
  27  5.1580    15.9600        13.2733         15.4333
  28  5.3579    15.6867        13.7400         15.4867
  29  4.9797    15.7667        14.1867         15.6200
  30  4.9448    16.0867        14.3200         15.5800
  31  4.8666    16.1400        14.5600         15.6400
  32  5.2368    16.0800        14.7133         15.7333
  33  5.0555    16.0000        14.8800         15.7600
  34  5.2936    16.0867        15.0267         15.7133
  35  4.9463    16.1533        14.9933         15.7867
  36  5.1845    16.0733        15.1067         15.7600
  37  5.1331    15.9533        15.2933         15.8600
  38  5.1166    16.0200        15.2333         15.8933
  39  4.9036    16.0267        15.3600         15.8933
  40  5.2586    16.0667        15.3667         15.8533
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
  41  5.1050    16.5000        15.4800         16.0133
  42  5.1937    16.6800        15.4867         15.9000
  43  5.3165    17.0000        15.5667         15.9667
  44  5.2413    16.8733        15.5867         15.9733
  45  4.9970    17.0333        15.6133         16.0400
  46  5.2017    17.6600        15.6933         15.9867
  47  5.0792    19.1667        15.6467         16.0733
  48  5.1718    17.6533        15.6667         16.0933
  49  5.3349    17.3667        15.8133         16.0600
  50  5.7351    17.3333        15.7867         16.0200
  51  4.9364    17.3533        15.7133         16.0000
  52  4.7877    17.3067        15.7667         16.1133
  53  5.1367    18.5800        15.8000         16.0867
  54  5.2772    18.7133        15.7667         16.0400
  55  5.2499    18.4400        15.8200         16.2200
  56  5.4243    19.2467        15.7800         16.2067
  57  5.3329    20.3200        15.8400         16.3067
  58  5.1936    20.9733        15.8867         16.2200
  59  5.3826    21.6867        15.9000         16.3667
  60  5.3555    21.4733        15.8733         16.5333
  61  5.0505    22.0867        15.8400         16.4333
  62  5.0734    22.1800        15.9600         16.5733
  63  4.8130    19.3067        16.0400         16.8933
  64  5.2441    16.0000        15.9333         17.0733
  65  5.1245    21.1733        15.9533         17.1467
  66  5.0590    18.0533        16.1400         17.8667
  67  5.0200    16.3000        16.0600         18.1400
  68  4.9626    19.3800        16.0467         18.1933
  69  5.3273    20.7667        16.2067         18.0200
  70  5.1530    19.2333        16.3067         18.0200
  71  5.9211    18.4867        16.4200         17.9467
  72  4.9682    18.2667        16.4133         17.7600
  73  5.1225    18.8400        16.4200         17.6000
  74  4.9662    19.4267        16.5200         17.6733
  75  5.4725    19.4333        16.6600         17.4400
  76  5.0747    19.4600        16.6200         17.7600
  77  4.9569    19.6733        16.8067         17.4000
  78  4.9252    21.7333        16.8067         17.6400
  79  4.9195    22.0400        16.9400         17.7400
  80  5.0087    21.8667        16.8400         17.5067
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
  81  5.3570    21.9600        17.0267         17.8333
  82  5.0910    22.2000        17.0400         17.7600
  83  5.1809    21.9800        17.1600         17.8067
  84  4.9400    22.1467        17.2533         17.9733
  85  5.0509    22.6333        17.3400         18.0533
  86  5.0776    22.9800        17.2800         18.0133
  87  5.1623    23.2933        17.3200         18.2400
  88  5.5084    23.2800        17.3733         18.1733
  89  5.2597    23.0333        17.6667         18.2733
  90  5.1061    23.1067        17.7267         18.3400
  91  5.1203    22.7200        17.5800         18.3200
  92  5.1017    21.3733        18.0133         18.5267
  93  5.1768    21.5533        18.0067         18.8133
  94  5.0483    22.8467        17.6600         18.4867
  95  5.0124    23.5333        17.9000         18.5267
  96  4.9594    23.6867        17.9933         18.7000
  97  5.2517    23.3133        17.8600         18.8867
