Preparing directory CIFAR10_VGG19_200E
Using model VGG19
Loading dataset: CIFAR10
Files already downloaded and verified
Files already downloaded and verified
Preparing model
SWA and ASWA training
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
   1  7.2909    14.5467        14.3600         14.1400
   2  5.1267    13.7400        15.3133         15.3333
   3  5.3025    10.7267        10.0400         10.0867
   4  5.8512    10.7000         9.9200          9.7867
   5  4.9698    10.2467         9.6467         10.2733
   6  5.2622    10.1533        10.5467         10.7733
   7  5.3464     9.5733        10.4400         10.4800
   8  5.3058     8.1533        10.1800         10.1800
   9  4.9130     7.6533         9.6667          9.5733
  10  5.0700     9.2467         8.9933          8.3933
  11  5.1882     9.8200         8.4267          8.3133
  12  5.1618     9.9867         8.4867          9.8067
  13  5.1403     9.9867         9.5867          9.9533
  14  5.1602     9.9867         9.9800          9.9800
  15  5.0479     9.9867         9.9867          9.9867
  16  5.2399     9.9867         9.9867          9.9867
  17  4.9487    11.2133         9.9867          9.9867
  18  5.0140    15.2733         9.9867          9.9867
  19  5.5650    15.8400         9.9867          9.9867
  20  5.0583    15.9667         9.9867         10.0533
  21  5.6182    15.9933         9.9867         12.1267
  22  5.0924    15.9533         9.9933         14.1600
  23  5.3339    15.8400        10.0200         14.7800
  24  5.8095    15.6533        10.4800         15.0933
  25  7.3506    16.0467        11.5400         15.3467
  26  6.4567    16.0267        12.6800         15.4667
  27  6.1771    15.9067        13.2333         15.5800
  28  6.2708    15.7400        13.7267         15.6267
  29  6.0487    16.0867        14.2267         15.7067
  30  5.9118    16.0467        14.4067         15.7333
  31  4.9911    16.1200        14.5867         15.8133
  32  5.3300    15.9600        14.7600         15.8733
  33  5.0068    16.0533        14.9067         15.8600
  34  5.0970    16.0133        15.0533         15.9000
  35  5.0187    15.9933        15.0667         15.8600
  36  4.8646    16.1400        15.1733         15.8867
  37  5.0245    15.8467        15.3333         15.9400
  38  5.5091    15.8667        15.2800         15.9600
  39  4.8632    16.1267        15.3800         15.8667
  40  5.3146    16.2133        15.4133         15.9200
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
  41  5.0173    16.9667        15.4667         16.0600
  42  5.0155    16.6267        15.5267         15.9800
  43  5.0351    16.9067        15.5800         16.0467
  44  5.1160    17.3133        15.5800         16.0400
  45  5.2673    18.2533        15.6267         16.1400
  46  5.1548    19.6400        15.7400         16.0533
  47  4.8944    17.7000        15.6867         16.0933
  48  5.0543    17.6600        15.6800         16.2667
  49  5.2780    17.8733        15.8667         16.1933
  50  5.7765    18.4333        15.8200         16.2000
  51  5.0167    19.1733        15.7667         16.2267
  52  5.0739    19.0933        15.8200         16.3800
  53  5.2697    18.8933        15.8800         16.3867
  54  5.0333    19.8800        15.8733         16.3600
  55  5.2215    20.0067        15.9467         16.5067
  56  5.0739    21.3867        15.9867         16.4400
  57  5.3051    21.3533        15.9667         16.5933
  58  4.8768    21.6600        16.0600         16.7600
  59  6.0163    22.0000        16.1400         16.9000
  60  6.2308    21.7600        16.2000         17.1067
  61  5.7921    20.9867        16.1667         17.0733
  62  6.2073    18.8267        16.3000         17.6067
  63  5.8308    22.4533        16.4467         17.9733
  64  6.0788    20.0333        16.4200         18.3800
  65  6.2138    20.1467        16.4533         18.0933
  66  6.2885    20.7733        16.4600         18.3133
  67  5.5023    19.8667        16.5467         17.8533
  68  5.8764    20.8467        16.4667         18.0267
  69  5.5452    20.8333        16.6467         17.8333
  70  6.1040    21.2800        16.7933         17.8800
  71  6.1868    20.6733        16.8867         17.9733
  72  6.4181    22.2600        16.9267         17.8933
  73  5.5815    21.7800        16.8667         18.0733
  74  6.1377    22.1067        16.9600         18.3067
  75  6.1295    21.5933        17.0067         18.3067
  76  5.8993    21.3200        17.1667         18.6467
  77  5.7572    22.8800        17.3400         18.3267
  78  6.3706    23.0933        17.2800         18.7133
  79  5.5593    23.7333        17.7067         18.9533
  80  5.2019    22.7467        17.7867         19.0000
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
  81  5.3435    24.4133        18.1733         19.0667
  82  5.2790    24.0800        18.2000         19.2067
  83  4.9379    24.5400        17.9267         19.1467
  84  5.1880    23.1467        17.6733         19.4867
  85  5.1723    23.9467        17.9533         19.5333
  86  5.5621    23.5200        17.7933         19.6333
  87  4.9528    24.6600        17.7133         19.7733
  88  5.3617    23.4267        17.4000         20.0333
  89  5.4216    24.0600        17.5667         19.9600
  90  5.2464    23.3800        17.6400         20.2000
  91  5.1030    24.5267        17.4667         20.0400
  92  4.9564    24.0200        17.5333         20.2600
  93  5.0817    25.7933        17.6067         20.7867
  94  4.9619    25.5667        17.4600         20.2667
  95  4.9526    26.1933        17.8067         20.3267
  96  5.1571    25.9667        18.0133         20.5133
  97  5.0181    26.3667        18.1067         20.8200
