Preparing directory CIFAR10_VGG16BN_100E
Using model VGG16BN
Loading dataset: CIFAR10
Files already downloaded and verified
Files already downloaded and verified
Preparing model
SWA and ASWA training
----  -------  ---------  -------------  --------------
  ep     time    Val-acc    SWA-val-acc    ASWA-val-acc
----  -------  ---------  -------------  --------------
   1  16.2663    10.0867        11.8000         12.1867
   2  14.5743    10.3600        13.6333         13.2533
   3  13.1410     9.7733        15.2067         15.0067
   4  12.9171     9.7733        15.5933         15.8200
   5  13.3135     9.7733        16.7467         16.8733
   6  13.7813    10.9600        17.3733         17.9000
   7  13.8567     9.4733        18.5667         18.7733
   8  13.4975     9.4867        19.0133         19.3133
   9  13.3844     9.4867        18.6800         19.1533
  10  13.0280     9.4867        19.1200         18.8400
  11  13.1093     9.4867        19.6333         19.3733
  12  13.2659     9.4867        19.4400         19.5267
  13  13.5778     9.4867        19.6133         19.7733
  14  14.4492     9.4867        19.7200         19.6267
  15  13.1157     9.5333        20.1000         19.9933
  16  13.2771     9.7400        20.0667         20.6000
  17  13.1736    10.2600        19.9667         20.3133
  18  13.2659    10.9133        20.5400         20.7533
  19  13.3959    11.7600        21.1733         21.5600
  20  13.3508    12.5600        21.0333         21.2000
  21  13.8815    13.3600        21.7067         21.8467
  22  13.4879    13.7867        21.9333         21.7533
  23  12.7523    14.2800        22.1800         21.9000
  24  13.2163    14.5667        22.3600         22.5000
  25  13.9379    14.8400        22.6933         22.4933
  26  13.8294    14.8800        22.8533         23.1400
  27  13.4774    15.4000        23.5333         23.5733
  28  13.5619    16.2600        23.5733         23.6867
  29  13.9433    17.7867        23.6200         23.9800
  30  12.9001    19.0333        24.0067         24.2133
  31  13.6516    20.3067        24.3133         24.4067
  32  14.0444    20.6933        24.2533         24.8800
  33  14.6566    21.5200        24.7333         25.0533
  34  13.2398    22.5533        25.0267         25.2800
  35  13.6966    22.7067        25.0333         25.7533
  36  13.7719    22.9933        25.5933         25.9667
  37  13.5959    23.0333        25.7067         26.0133
  38  13.5365    23.8600        25.7800         26.3333
  39  13.1539    24.7000        25.8000         26.4067
  40  12.0839    25.5800        26.0667         26.8067
----  -------  ---------  -------------  --------------
  ep     time    Val-acc    SWA-val-acc    ASWA-val-acc
----  -------  ---------  -------------  --------------
  41  10.2194    26.3600        26.8000         26.8133
  42  10.8162    26.4533        26.8333         27.4933
  43  10.4110    26.7267        27.2867         27.5733
  44  10.4143    25.6533        27.2933         28.2467
  45  10.4060    25.4200        27.4933         28.3800
  46  10.4480    26.1133        27.6733         28.4267
  47  9.9400    28.5267        28.3133         28.8067
  48  10.8034    30.7333        28.3867         29.0133
  49  10.7123    33.2600        28.8000         29.1933
  50  10.8658    33.8067        28.6667         29.7600
  51  10.4177    34.5400        29.4000         30.0200
  52  10.5603    34.4000        29.8267         30.2133
  53  10.2200    33.8733        29.9667         30.9267
  54  10.7217    32.8667        30.1267         31.1933
  55  10.3617    32.0267        30.6667         31.6533
  56  10.1891    33.0133        30.6333         31.4133
  57  10.7151    34.4600        31.2733         32.0400
  58  10.4167    35.1267        31.0267         32.0467
  59  10.5299    34.8600        31.2067         32.8933
  60  10.6127    35.7067        31.5667         32.6000
  61  10.2623    35.9667        32.0133         32.9800
  62  10.6276    35.6133        32.2000         33.1133
  63  10.4928    34.5533        32.3467         33.4400
  64  10.0318    35.8933        32.2733         33.8600
  65  10.0618    37.7133        33.0200         33.9267
  66  10.1977    39.1333        33.4800         34.2533
  67  10.1203    40.2333        33.1933         34.3333
  68  10.0865    40.0800        33.3200         34.4800
  69  10.3468    40.2333        33.9667         35.0867
  70  10.2958    40.0800        33.9467         35.0200
  71  10.2868    39.5200        33.7733         35.0133
  72  9.9322    39.5533        34.4667         35.4267
  73  10.0032    39.4533        34.4000         35.6933
  74  10.4644    42.0133        34.7533         36.1467
  75  10.5531    42.5267        34.9467         35.6467
  76  10.1568    42.2600        34.8667         35.8467
  77  10.2075    41.6867        35.4667         36.3067
  78  10.5172    40.9400        35.4667         36.8200
  79  9.9569    41.4467        35.8067         36.8933
  80  10.0033    41.5733        35.7400         36.5400
----  -------  ---------  -------------  --------------
  ep     time    Val-acc    SWA-val-acc    ASWA-val-acc
----  -------  ---------  -------------  --------------
  81  10.1115    41.1867        35.6200         37.4467
  82  10.3898    41.6867        35.9200         37.2800
  83  10.1136    43.1933        36.3933         37.1267
  84  10.3084    44.4733        36.1000         37.5867
  85  10.2298    45.1467        36.7133         37.8467
  86  10.1933    45.5333        36.5333         38.4000
  87  10.2941    44.4200        36.9600         38.2933
  88  9.9512    43.5067        37.0333         38.5667
  89  10.1648    45.5267        37.3067         39.0400
  90  10.1351    45.6733        37.6933         38.9067
  91  10.2721    45.7667        37.7333         39.0733
  92  10.5535    45.7867        38.3533         39.1867
  93  10.6521    46.9133        37.7067         39.2400
  94  9.8577    47.5600        37.6867         39.2400
  95  10.0711    47.3533        38.4200         39.3600
  96  9.7832    47.0600        38.6333         39.9067
