Preparing directory CIFAR10_VGG16_400E
Using model VGG16
Loading dataset: CIFAR10
Files already downloaded and verified
Files already downloaded and verified
Preparing model
SWA and ASWA training
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
   1  6.9906    10.0867        10.0867         10.0867
   2  4.9040    10.4267        10.0933         10.3667
   3  5.1707    10.1533        10.1533         10.2200
   4  5.5224    10.2800        10.2867         10.3267
   5  5.2035    10.4400        10.3933         10.6933
   6  4.9231    11.0667        10.7000         11.0267
   7  4.8884    12.7933        11.1667         11.4667
   8  4.9887    13.9000        11.8667         12.1933
   9  4.9663    13.2933        12.7200         13.0533
  10  5.0907    12.0667        13.5400         13.9933
  11  5.1785    11.5200        14.0267         14.0933
  12  4.7673    10.4067        13.9933         13.7800
  13  5.1967     9.7733        13.7467         13.2067
  14  5.2032    10.0400        13.2733         12.9933
  15  5.4611    11.9000        13.1800         12.5533
  16  4.9793    18.2400        12.9067         12.5133
  17  4.9267    17.6667        12.8867         12.6933
  18  5.1930    16.6867        12.5133         12.5267
  19  5.4744    14.9133        12.4800         12.3933
  20  4.9490    16.0200        12.4333         12.2933
  21  5.4322    17.7600        12.5267         12.7733
  22  4.9207    18.5467        12.7867         15.0067
  23  4.8124    18.3600        13.0067         16.3800
  24  5.0368    17.7467        13.0400         16.7067
  25  5.2855    16.0200        13.6067         17.1400
  26  5.3318    15.2667        14.8533         17.2400
  27  4.8653    16.7933        15.4333         17.3200
  28  4.9789    17.3800        15.8533         17.4267
  29  4.9480    18.7000        16.4800         17.5533
  30  5.1366    19.3733        16.5800         17.8067
  31  4.8965    19.2267        16.9733         18.0200
  32  5.1204    19.3067        17.2667         18.0733
  33  4.9416    19.3000        17.3600         18.1600
  34  4.8731    19.7467        17.6400         18.3200
  35  5.0958    19.4333        17.6533         18.2600
  36  5.4942    19.9800        17.6867         18.3200
  37  5.3581    20.1467        18.0000         18.4733
  38  4.9545    18.8000        18.3600         18.7533
  39  5.0093    19.6867        18.4067         18.8467
  40  4.9790    19.7467        18.7333         19.0867
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
  41  5.2648    20.1400        18.7467         19.1467
  42  4.6501    23.8000        18.7467         19.2000
  43  5.0706    22.6800        18.9467         19.1933
  44  4.8033    23.3200        18.9267         19.5400
  45  4.9803    23.1533        19.2867         19.7933
  46  5.1300    22.1467        19.5533         19.2733
  47  4.9395    22.5733        19.3267         20.1667
  48  4.8828    23.1000        19.3400         20.0733
  49  5.4576    23.6867        19.4200         20.5933
  50  5.4982    23.6133        19.4533         21.8800
  51  4.9131    23.8800        19.6800         22.6067
  52  5.2307    23.7733        19.8200         23.0333
  53  4.7306    23.7333        19.9533         23.5200
  54  5.3802    23.6933        20.2800         23.5333
  55  5.1425    24.4467        20.5467         23.7467
  56  5.0223    24.5600        21.0533         23.6733
  57  4.8544    24.7800        21.4200         23.5933
  58  5.0851    24.8067        21.8600         23.6600
  59  5.2196    25.0933        22.4467         23.7800
  60  5.2856    24.7333        22.4933         23.9733
  61  4.9536    25.0200        23.0333         24.2267
  62  4.9336    25.0733        22.9000         23.9467
  63  4.7190    26.0800        23.0867         23.9400
  64  5.0595    25.3333        23.2533         23.9200
  65  4.8212    25.7933        23.4867         23.8400
  66  4.8870    26.0533        23.4800         24.2467
  67  4.9414    26.1200        23.5067         24.3467
  68  5.0168    26.0333        23.9733         24.2267
  69  4.9727    26.3533        23.7533         24.4400
  70  4.4179    25.8000        23.9267         24.1800
  71  4.7794    26.9867        24.0200         24.3400
  72  5.1662    26.4133        23.9067         24.6067
  73  4.8687    25.7600        24.2600         24.2800
  74  5.1825    26.2867        24.0667         24.5933
  75  5.7117    25.5667        24.4200         24.5600
  76  4.8848    22.4533        24.0067         24.9600
  77  5.1820    26.3400        24.4267         24.9200
  78  5.4248    24.5333        24.3200         25.0067
  79  5.1236    28.4400        24.2467         24.9267
  80  5.3197    26.4200        24.3800         25.1133
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
  81  5.2210    26.4400        24.3200         24.9400
  82  4.9985    28.2200        24.7467         25.1533
  83  4.9177    27.7533        24.3333         25.1600
  84  5.0650    27.5800        24.7533         25.2000
  85  5.6206    27.3600        24.6467         24.8667
  86  4.9563    26.5333        24.7667         25.1200
  87  5.1767    27.2067        24.6733         25.1733
  88  4.7006    28.7267        24.7933         25.3000
  89  5.2005    28.3600        24.9400         24.9667
  90  4.6302    28.3133        25.2067         24.9733
  91  5.1983    28.1533        24.4733         25.1333
  92  4.8535    28.2733        25.2067         25.8133
  93  4.8241    28.2467        25.5667         25.7867
  94  5.1325    28.6800        25.0800         25.5533
  95  4.8157    29.1200        25.0667         25.4467
  96  4.8971    27.3467        24.9600         25.4800
  97  5.0246    28.6400        25.0067         25.6400
