Preparing directory CIFAR10_VGG19BN_200E
Using model VGG19BN
Loading dataset: CIFAR10
Files already downloaded and verified
Files already downloaded and verified
Preparing model
SWA and ASWA training
----  -------  ---------  -------------  --------------
  ep     time    Val-acc    SWA-val-acc    ASWA-val-acc
----  -------  ---------  -------------  --------------
   1  14.7718    11.5200        12.7067         12.3600
   2  13.0670     9.9867        13.5333         13.5600
   3  12.0093     9.9867        14.4667         14.3533
   4  11.9402     9.9867        15.3333         15.2400
   5  12.0170     9.9867        15.1000         15.0667
   6  11.8826    10.4733        15.2533         15.1867
   7  12.3488     9.4867        15.3600         15.0667
   8  12.1566     9.4867        15.6867         15.2933
   9  12.1223     9.4867        15.7267         15.9933
  10  12.0563     9.4867        15.9400         16.0467
  11  12.8791     9.4867        16.2533         16.4600
  12  13.0043     9.4867        16.8467         16.8333
  13  12.7240     9.4867        17.4067         17.4133
  14  12.7478     9.4933        17.6667         17.7933
  15  11.5924     9.5000        18.1200         18.3533
  16  11.3847     9.5000        18.4267         18.5467
  17  12.5275     9.5200        19.0133         18.9200
  18  12.1168     9.5667        19.0933         19.6733
  19  12.0723     9.8333        19.2400         19.4733
  20  12.2291    10.5200        19.6333         20.4733
  21  11.9068    11.3333        20.5333         20.5200
  22  12.2425    12.5133        21.1333         21.1467
  23  12.0351    13.8733        21.0000         21.3600
  24  11.9159    14.7933        21.8200         21.7667
  25  12.6034    16.3067        21.9533         22.1733
  26  12.5877    18.3267        22.5533         22.7333
  27  12.3024    20.0667        22.8000         22.7867
  28  12.1308    21.2533        23.2333         23.4333
  29  12.4782    22.1133        23.3800         23.9867
  30  12.0489    23.4333        23.7933         23.7267
  31  12.1539    24.4600        23.9533         24.0867
  32  12.1944    24.4600        24.2800         24.5000
  33  12.0697    24.9333        24.2200         24.6467
  34  12.0164    25.4533        24.7533         24.9200
  35  12.2328    26.0600        24.9067         25.1533
  36  12.3007    26.6400        25.0733         25.1933
  37  12.4722    27.1733        25.5000         25.8267
  38  11.7548    28.2400        25.6133         26.4000
  39  12.1467    28.9600        26.5867         26.1667
  40  12.0747    29.0733        26.6133         26.7467
----  -------  ---------  -------------  --------------
  ep     time    Val-acc    SWA-val-acc    ASWA-val-acc
----  -------  ---------  -------------  --------------
  41  12.0422    29.9267        26.9333         27.1000
  42  12.3277    29.7533        27.1267         27.1467
  43  12.1551    30.2667        27.3467         27.8333
  44  12.3484    30.9333        27.4400         28.2267
  45  12.7079    31.7400        27.7467         28.3267
  46  12.3124    32.7533        27.7333         28.5467
  47  12.0474    34.5200        28.2867         28.4200
  48  12.1601    34.6867        28.5067         28.7733
  49  12.2012    34.0733        28.9400         29.5733
  50  12.5207    33.2267        29.5667         29.9133
  51  12.1409    33.0733        29.1933         30.4600
  52  12.6006    33.2667        30.0067         30.1533
  53  12.3170    34.8400        29.7400         30.9733
  54  12.3002    35.0267        30.2733         31.1733
  55  12.6030    35.1467        31.1533         31.6000
  56  12.2955    35.7867        30.8733         31.6133
  57  12.4926    36.7200        31.3200         31.9000
  58  11.9812    37.9933        31.6400         32.2133
  59  12.3552    38.3133        31.8000         32.4467
  60  12.0017    36.3200        32.0600         32.8400
  61  12.1837    36.5600        32.1067         33.3800
  62  13.6697    37.4133        32.9467         33.9000
  63  13.5160    38.2933        32.5333         33.4400
  64  13.8004    38.7733        33.3867         33.9333
  65  12.7147    38.7000        33.5400         33.9400
  66  12.2064    38.7467        33.6800         34.7667
  67  12.1470    38.1933        33.8600         35.2733
  68  12.0301    40.1800        33.9200         34.9467
  69  12.1438    40.9000        34.8733         34.5200
  70  12.4030    41.8867        34.4200         35.2067
  71  12.1923    42.2000        34.9600         35.5200
  72  12.2664    41.8267        35.2733         36.2400
  73  12.3009    41.6133        35.3267         36.0867
  74  12.2888    40.6533        35.4000         36.1400
  75  12.8974    41.3467        35.9000         36.3667
  76  12.2766    40.9133        35.5400         36.7333
  77  11.9854    41.0267        35.9467         37.3800
  78  12.1572    41.6933        36.4733         37.5267
  79  12.2620    42.0733        36.6800         37.6200
  80  13.0879    44.1133        36.5600         37.4067
----  -------  ---------  -------------  --------------
  ep     time    Val-acc    SWA-val-acc    ASWA-val-acc
----  -------  ---------  -------------  --------------
  81  12.2448    44.3667        36.8533         38.0667
  82  12.0784    43.8667        37.3200         38.2400
  83  11.9740    43.8400        37.3200         38.0267
  84  12.1610    44.2600        37.0933         38.5400
  85  12.1875    44.3933        37.5800         38.6733
  86  12.2392    45.3200        37.7200         38.8467
  87  12.2990    46.1400        37.7867         39.3133
  88  12.1542    45.9267        38.6600         39.0333
  89  12.1749    47.0933        38.3467         38.9800
  90  12.1604    46.7333        38.2800         39.2467
  91  12.0709    44.8733        38.1600         39.6600
  92  12.1850    45.5800        38.3933         39.7200
  93  12.0627    47.7133        39.0267         40.0333
  94  12.2074    45.1800        39.0400         40.1000
  95  12.0166    44.5133        39.5067         40.2333
  96  11.9847    47.0400        39.1533         40.4467
