Preparing directory CIFAR10_VGG16_200E
Using model VGG16
Loading dataset: CIFAR10
Files already downloaded and verified
Files already downloaded and verified
Preparing model
SWA and ASWA training
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
   1  8.5288    10.0867        10.0867         10.0867
   2  5.8669    10.4467         9.9867         10.4467
   3  5.9660    10.4467        10.4467         10.4467
   4  7.0229    10.4467        10.4467         10.4467
   5  6.0000    10.4467        10.4467         10.4467
   6  6.3155    10.4467        10.4467         10.4467
   7  5.8846    10.4467        10.4467         10.4467
   8  6.3634    10.4467        10.4467         10.4467
   9  5.8071    11.4533        10.4467         10.4467
  10  6.0773     9.5000        10.4467         12.3467
  11  5.9380    10.4067        10.4467          9.6800
  12  5.6876     9.4867        10.4467          9.4867
  13  6.1555    14.6467        10.4467          9.5933
  14  6.4941     9.4867        10.4467          9.4867
  15  6.0401     9.4867        10.4467          9.4867
  16  5.6948     9.4867        11.4200          9.4867
  17  6.2677     9.4867         9.4867          9.4867
  18  5.9220     9.4867         9.4867          9.4867
  19  5.7741    11.3600         9.4867          9.4867
  20  6.0912     9.4933         9.4867          9.4867
  21  6.1648     9.4867         9.4867          9.4867
  22  6.0361     9.4867         9.4867          9.4867
  23  6.1387    14.9200         9.4867          9.4867
  24  6.1607    15.3667         9.4867         10.6067
  25  6.3337    14.5733         9.4867         11.9333
  26  6.1328    13.5600         9.4867         12.5533
  27  6.1221    15.4067         9.4867         13.5667
  28  5.6850    15.4800         9.4867         14.1667
  29  5.9508    15.1933         9.4867         14.4067
  30  6.1238    15.6533         9.4867         14.5600
  31  5.9106    15.9133         9.4867         14.8067
  32  6.0131    15.6200         9.4867         14.7400
  33  6.1487    17.7000         9.4867         15.1333
  34  5.8702    17.2933         9.4867         15.2867
  35  5.8697    16.4467         9.4867         15.2600
  36  6.0467    17.4933         9.4867         15.5467
  37  5.8579    16.9533         9.4867         15.7467
  38  6.1326    17.2267         9.4933         15.6533
  39  6.0278    17.4467         9.4800         15.8067
  40  5.8384    17.4800         9.5533         15.8733
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
  41  6.0446    17.6867         9.7933         17.2933
  42  5.9996    16.2000        10.4867         17.3600
  43  6.1886    15.4067        10.9400         17.4200
  44  6.2624    13.1000        11.0933         17.6400
  45  6.5720    13.9200        11.2933         17.6000
  46  6.0533    16.0000        11.3467         17.5267
  47  5.9294    11.0267        11.4333         17.6600
  48  6.2061     9.9933        11.5200         17.7867
  49  5.9972     9.9867        11.7800         17.8267
  50  6.5475     9.9867        12.1467         17.6467
  51  5.9576     9.9867        12.5867         17.7000
  52  6.1036     9.9867        12.9133         17.8733
  53  6.0158     9.9600        13.4533         17.7667
  54  5.8470    10.5933        13.7600         16.9800
  55  6.1396    12.4867        14.0733         16.4667
  56  5.9167    14.6200        14.3133         16.1467
  57  6.4066    14.1000        14.6000         15.9067
  58  6.3469    14.3200        14.8467         15.5733
  59  6.1291    15.3133        14.8333         15.5667
  60  5.6848    14.9667        15.2600         15.7333
  61  6.0866    14.9467        15.5067         15.4133
  62  5.8447    15.3200        15.6933         15.5267
  63  6.4306    15.4533        15.7667         15.1667
  64  5.9816    15.7067        15.9933         15.2133
  65  5.8584    16.4733        16.0667         15.3267
  66  6.1280    16.4000        16.1267         15.2667
  67  6.0245    16.2200        16.1467         15.4067
  68  6.2426    16.3467        16.3000         15.2000
  69  5.6730    16.5533        16.9667         15.4533
  70  6.2022    16.4000        16.9400         15.4867
  71  6.0845    16.1067        17.1267         15.4533
  72  5.8438    15.2133        17.2067         15.6933
  73  6.2222    14.2867        17.1933         15.4067
  74  6.0596    17.8600        17.2333         15.6267
  75  6.4142    17.4133        17.4133         15.8600
  76  6.0740    17.4067        17.2333         15.7800
  77  6.1549    17.2933        17.2467         15.7000
  78  6.3136    17.0667        17.3067         15.6867
  79  6.0929    17.2467        17.2600         15.6600
  80  6.3602    17.6733        17.2533         15.8467
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
  81  6.2718    17.9333        17.4533         15.9600
  82  6.2712    17.7000        17.2667         16.0000
  83  6.6838    17.8067        17.4467         16.0667
  84  6.6270    18.4467        17.2800         16.2267
  85  6.0012    18.2000        17.5000         17.1867
  86  6.0130    18.3333        17.6533         17.4200
  87  6.6061    18.3200        17.5933         17.2733
  88  6.0419    17.6000        17.6000         17.5133
  89  5.8704    19.9733        18.8400         17.6600
  90  6.2721    17.8533        18.7933         17.9867
  91  5.9009    19.3000        18.8333         17.8733
  92  5.8934    19.4933        18.9067         17.6133
  93  6.1107    19.6267        19.1667         17.6467
  94  6.4940    18.9533        18.8800         17.6600
  95  5.9960    18.8600        19.1000         18.0800
  96  5.6808    18.4400        19.1467         18.0000
  97  6.1613    18.4200        18.7400         18.1133
