Preparing directory CIFAR10_VGG19_300E
Using model VGG19
Loading dataset: CIFAR10
Files already downloaded and verified
Files already downloaded and verified
Preparing model
SWA and ASWA training
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
   1  6.5620    10.1267        10.1267         10.1267
   2  4.2808     9.4867        10.3667         10.4000
   3  4.3353     9.4867         9.4867          9.4867
   4  5.0313     9.4867         9.4867          9.4867
   5  4.2583     9.4867         9.4867          9.4867
   6  4.2629     9.4867         9.4867          9.4867
   7  3.9707     9.4867         9.4867          9.4867
   8  4.4551     9.4867         9.4867          9.4867
   9  4.4835     9.4867         9.4867          9.4867
  10  4.4767     9.4867         9.4867          9.4867
  11  4.2715     9.5067         9.4867          9.4867
  12  4.2614    12.5600         9.4867          9.4867
  13  4.2959    11.4067         9.4867          9.4867
  14  4.3825     9.8600         9.4867          9.6333
  15  4.1351    10.4133         9.4867          9.9733
  16  4.0353    12.7867         9.4867          9.9733
  17  4.4915     9.8600         9.4867         11.6400
  18  4.2633     9.8933         9.4867         12.5933
  19  4.2543    12.9000         9.4867         12.3467
  20  4.3877     9.5000         9.4867         11.3933
  21  4.4612     9.6533         9.4867         10.4333
  22  4.3339    11.1200         9.4867          9.9733
  23  4.5432    12.7333         9.4867          9.9933
  24  4.4644     9.7667         9.4867          9.7600
  25  4.5626    12.8533         9.4867          9.8000
  26  4.2697    10.6067         9.4867          9.7333
  27  4.2992     9.6667         9.4867          9.7333
  28  4.2730    11.6000         9.4867          9.8133
  29  4.4539    12.2533         9.4867         10.0933
  30  4.3425    12.1933         9.4867         10.3400
  31  4.1400    11.3200         9.4867         10.6667
  32  4.3668    12.6667         9.4867         11.0733
  33  4.2706    12.7467         9.4867         11.6400
  34  4.4460    11.4400         9.4867         11.6200
  35  4.5143    13.5267         9.4867         11.9000
  36  4.2599    11.4200         9.4867         11.9067
  37  4.1445    14.3800         9.4867         12.0800
  38  4.1570    14.7067         9.4867         12.4267
  39  4.4487    13.1267         9.4867         12.6667
  40  4.3081    14.1800         9.4867         12.4333
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
  41  4.3423    14.0333         9.4867         12.4133
  42  4.2628    15.2933         9.4867         12.4733
  43  4.4699    15.4333         9.4867         12.3467
  44  4.5023    15.3867         9.4867         12.2800
  45  4.1102    15.4267         9.4867         12.7800
  46  4.2938    11.1400         9.4867         12.7333
  47  4.4960     9.4867         9.4867         11.9933
  48  4.1474     9.4867         9.4867         10.8467
  49  4.5505     9.4867         9.4867          9.8200
  50  4.8030     9.4867         9.4867          9.5067
  51  4.2003     9.4867         9.4867          9.4867
  52  4.2589     9.4867         9.4867          9.4867
  53  4.2599     9.4867         9.4867          9.4867
  54  4.3633     9.4867         9.4867          9.4867
  55  4.3567     9.4867         9.4867          9.4867
  56  4.5491     9.4867         9.4867          9.4867
  57  4.3301     9.4867         9.4867          9.4867
  58  4.2211     9.4867         9.4867          9.4867
  59  4.4881     9.4867         9.4867          9.4867
  60  4.2479     9.4867         9.4867          9.4867
  61  4.3794     9.4867         9.4867          9.4867
  62  4.4313     9.4867         9.4867          9.4867
  63  4.2820     9.4867         9.4867          9.4867
  64  4.3042     9.4867         9.4867          9.4867
  65  4.5470     9.4867         9.4867          9.4867
  66  4.2091     9.4867         9.4867          9.4867
  67  4.5740     9.4867         9.4867          9.4867
  68  4.4268     9.4867         9.4867          9.4867
  69  4.6210     9.4867         9.4867          9.4867
  70  4.4304     9.4867         9.4867          9.4867
  71  4.4671     9.4867         9.4867          9.4867
  72  4.2730     9.4867         9.4867          9.4867
  73  4.3647    11.6400         9.4867          9.4867
  74  4.8648     9.9867         9.4867          9.4867
  75  4.6122     9.9867         9.4867          9.4867
  76  4.3200     9.0467         9.4867          9.4867
  77  4.2618    12.1600         9.4867          9.4867
  78  4.5070    10.2933         9.4867          9.4867
  79  4.0601    10.0600         9.4867          9.4867
  80  4.4217     9.5667         9.4867          9.4867
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
  81  4.4932    10.6400         9.4867          9.4867
  82  4.1912    11.9133         9.4867          9.4867
  83  4.3333     9.8467         9.4867          9.4867
  84  4.0353     9.8000         9.4867          9.4867
  85  4.5095     9.5000         9.4867          9.4867
  86  4.3078     9.3867         9.4867          9.4867
  87  4.3324     9.9200         9.4867          9.4867
  88  4.1932     9.9400         9.4867          9.4867
  89  4.3298    12.6333         9.4867          9.4867
  90  4.3660    12.7933         9.4867          9.4867
  91  4.6353     9.9867         9.4867          9.4867
  92  4.3459     9.9867         9.4867          9.4867
  93  4.4592    12.7400         9.4867          9.4867
  94  4.2466     9.6067         9.4867          9.4867
  95  4.6032     9.4867         9.4867          9.4867
  96  4.5011     9.4867         9.4867          9.4867
  97  4.5232     9.4867         9.4867          9.4867
