Preparing directory CIFAR10_VGG16_500E
Using model VGG16
Loading dataset: CIFAR10
Files already downloaded and verified
Files already downloaded and verified
Preparing model
SWA and ASWA training
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
   1  5.7846    10.0867        10.0867         10.0867
   2  4.2723    10.4467         9.9867         10.4467
   3  4.9358    10.4467        10.4467         10.4467
   4  4.6402    10.4467        10.4467         10.4467
   5  4.1552    10.4467        10.4467         10.4467
   6  4.3958    10.4467        10.4467         10.4467
   7  4.2669    10.4467        10.4467         10.4467
   8  4.0576    10.4467        10.4467         10.4467
   9  4.3586    12.0867        10.4467         10.4467
  10  4.1303     9.4867        10.4467         11.6000
  11  4.3517     9.5867        10.4467          9.5267
  12  4.0505     9.4933        10.4467          9.4867
  13  4.4632    13.5133        10.4467          9.5800
  14  4.4782     9.4867        10.4467          9.4867
  15  4.3084     9.4867        10.4467          9.4867
  16  3.8027     9.4867        12.2200          9.4867
  17  4.1709     9.4867         9.4867          9.4867
  18  3.9519     9.4867         9.4867          9.4867
  19  4.3917     9.4867         9.4867          9.4867
  20  4.2543     9.7467         9.4867          9.4867
  21  4.2666     9.4867         9.4867          9.4867
  22  4.2084     9.4867         9.4867          9.4867
  23  4.0803    11.4667         9.4867          9.4867
  24  4.1306    15.3667         9.4867          9.4933
  25  4.5127    14.6467         9.4867         10.5533
  26  4.2115    12.7200         9.4867         11.1867
  27  4.1354    15.5067         9.4867         12.8133
  28  4.2216    15.4467         9.4867         13.4867
  29  4.0217    14.6267         9.4867         13.8067
  30  3.9643    15.4333         9.4867         14.1867
  31  4.4572    15.8333         9.4867         14.4667
  32  4.1812    15.4667         9.4867         14.5067
  33  4.3700    17.2800         9.4867         14.6467
  34  4.1342    16.9267         9.4867         14.9600
  35  4.2389    17.6533         9.4867         14.9333
  36  4.2925    14.7333         9.4867         14.9867
  37  4.2300    17.4867         9.4867         15.1133
  38  4.3043    17.1133         9.4867         15.3867
  39  4.4810    16.9000         9.4867         15.5133
  40  4.0237    17.2467         9.4867         15.6867
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
  41  4.3243    17.5933         9.4867         16.0000
  42  4.1159    17.5267         9.4867         15.9600
  43  4.1153    17.3467         9.5200         16.0667
  44  4.3842    14.9600         9.7133         17.4333
  45  4.1914    15.3333         9.7867         17.5600
  46  4.1946    17.7467        10.0333         17.5267
  47  4.2239    15.6600        10.2867         17.7267
  48  4.5465    14.9400        10.8933         17.5733
  49  4.1966    16.8867        11.4333         17.5733
  50  4.5402    17.6733        11.5667         17.7400
  51  4.2833    17.8000        11.7800         17.9133
  52  4.4869    18.3600        11.8533         17.8467
  53  3.8796    17.5867        12.2667         17.7067
  54  4.0840    17.3267        12.7600         17.8000
  55  4.3957    16.8933        13.3000         17.8000
  56  4.2906    17.0333        13.7133         17.8400
  57  4.1729    17.5600        13.9733         17.7667
  58  4.2744    17.5000        14.3600         17.8000
  59  4.1947    18.2333        14.4933         17.7467
  60  4.3963    17.7000        14.7533         17.6867
  61  4.2269    17.3333        15.9733         17.7067
  62  4.3327    17.6600        16.3733         17.5600
  63  4.3832    18.1400        16.7067         17.6467
  64  4.1558    18.4000        16.8733         17.6200
  65  4.0281    18.2267        16.9667         17.6933
  66  4.3860    14.7733        16.9400         17.8467
  67  4.4785    17.5467        17.2000         17.9200
  68  4.1105    17.6467        17.2067         17.9667
  69  4.2082    17.5333        17.2067         18.0333
  70  4.4082    17.6600        17.1800         17.9000
  71  4.5068    16.3933        17.3667         18.0667
  72  4.2124    16.4267        17.5067         18.0067
  73  4.1462    16.8267        17.7467         17.9400
  74  4.2361    17.2467        17.5333         18.1400
  75  4.7604    15.4667        17.6333         18.1933
  76  4.5992    16.7733        17.8000         18.0067
  77  4.5285    17.3400        17.5933         18.2067
  78  4.4983    17.9533        17.8400         18.1933
  79  4.5010    16.7267        17.9133         18.1667
  80  4.4417    18.6267        17.7533         18.0267
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
  81  3.8834    17.7933        17.9200         18.3467
  82  4.3523    19.9267        18.0933         18.4067
  83  4.2513    17.8733        18.1600         18.3733
  84  3.9925    17.5200        18.4467         18.4667
  85  4.4330    19.3133        18.8533         18.7400
  86  4.4282    19.4067        18.6733         18.9267
  87  4.1530    19.1867        18.8067         18.7000
  88  4.3063    18.2667        18.8800         19.0333
  89  4.2881    19.4067        18.9733         18.9867
  90  4.1705    19.3600        19.0067         19.1333
  91  4.5327    20.5133        19.0667         19.1533
  92  4.5080    19.7267        18.9533         19.1133
  93  4.4159    19.2467        18.9800         19.0267
  94  4.2366    19.3733        18.9333         19.2733
  95  4.0164    19.0267        19.1733         19.2133
  96  4.2217    18.9800        19.2000         19.0800
  97  4.4654    18.8800        19.1000         19.2733
