Preparing directory CIFAR10_VGG16_100E
Using model VGG16
Loading dataset: CIFAR10
Files already downloaded and verified
Files already downloaded and verified
Preparing model
SWA and ASWA training
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
   1  7.8353    10.0867        10.0867         10.0867
   2  5.1560    10.4467         9.9867         10.4467
   3  5.0730    10.4467        10.4467         10.4467
   4  5.5842    10.4467        10.4467         10.4467
   5  5.9128    10.4467        10.4467         10.4467
   6  5.7757    10.4467        10.4467         10.4467
   7  4.9984    10.4467        10.4467         10.4467
   8  5.4796    10.4467        10.4467         10.4467
   9  5.0640    12.1933        10.4467         10.4467
  10  5.4211     9.5067        10.4467         11.5733
  11  5.3964     9.8600        10.4467          9.5467
  12  4.7081     9.4867        10.4467          9.4867
  13  4.9624    14.9867        10.4467          9.6800
  14  5.2713     9.4867        10.4467          9.4867
  15  5.2664     9.4867        10.4467          9.4867
  16  5.4602     9.4867        12.5133          9.4867
  17  4.9899     9.4867         9.4867          9.4867
  18  5.4149     9.4867         9.4867          9.4867
  19  5.6199     9.5200         9.4867          9.4867
  20  5.2822     9.4867         9.4867          9.4867
  21  5.2190     9.4867         9.4867          9.4867
  22  5.5109     9.4867         9.4867          9.4867
  23  4.9716    12.5267         9.4867          9.4867
  24  5.2105    15.2533         9.4867          9.5400
  25  5.8372    14.6533         9.4867         10.6867
  26  5.1959    12.3933         9.4867         11.3200
  27  5.0170    15.2333         9.4867         12.7067
  28  5.2870    15.3800         9.4867         13.6267
  29  5.8113    14.9600         9.4867         13.9933
  30  5.3171    14.7000         9.4867         14.2200
  31  5.7867    15.8333         9.4867         14.4667
  32  5.2036    16.0600         9.4867         14.5867
  33  5.0035    16.8600         9.4867         14.7000
  34  5.5063    17.5533         9.4867         14.8667
  35  4.8861    17.4867         9.4867         14.9000
  36  5.1458    17.7333         9.4867         15.1467
  37  5.0186    14.3400         9.4867         15.0667
  38  5.1101    17.5733         9.4867         15.2733
  39  4.8092    16.3667         9.4867         15.4867
  40  4.8955    17.6200         9.4867         15.6933
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
  41  5.0887    17.0533         9.4867         15.8267
  42  5.3513    17.6800         9.5333         15.8000
  43  5.1591    16.7600         9.7733         15.9267
  44  5.0317    17.3267         9.9267         17.5133
  45  5.1701    17.3467        10.2667         17.5400
  46  4.7834    16.1600        10.7867         17.5067
  47  4.9712    16.1733        11.4333         17.6133
  48  5.2873    17.0267        11.8733         17.3733
  49  4.9749    17.1000        12.2133         17.5400
  50  5.4224    17.0933        12.9200         17.5067
  51  4.9725    15.7467        13.3267         17.6667
  52  4.8710    15.8867        13.7133         17.6133
  53  5.1204    16.4400        13.9867         17.6467
  54  4.7893    16.6667        14.4067         17.5200
  55  5.1759    18.1267        14.5600         17.6400
  56  5.1033    11.1800        14.8067         17.7800
  57  5.0858    18.3133        15.0133         17.7533
  58  5.0882    18.8600        15.0200         18.0133
  59  4.6095    18.7800        15.0200         17.8933
  60  4.6897    17.1267        15.3467         17.9200
  61  5.0412    16.8267        15.3067         17.8533
  62  5.3797    18.3267        16.7867         17.8867
  63  4.9793    18.9333        16.7933         18.0067
  64  5.0144    18.6067        16.9000         18.2333
  65  5.1037    18.5133        16.9400         18.8067
  66  5.3486    17.6267        16.9667         18.8000
  67  5.1165    18.1533        17.1400         18.6733
  68  5.1153    18.5067        17.1933         18.6800
  69  5.0162    16.6400        17.1533         18.7000
  70  4.9076    17.6467        17.0333         18.4200
  71  4.9945    17.5733        17.2600         18.7733
  72  5.4854    18.2133        17.2067         18.6067
  73  5.1192    18.0600        17.5067         18.6333
  74  5.2154    18.4867        17.3600         18.4133
  75  6.1572    19.0733        17.4400         18.5667
  76  5.5863    18.8400        17.5400         18.3800
  77  6.0487    18.2533        17.5533         18.4800
  78  5.9568    18.0933        17.8867         18.5733
  79  5.8511    18.0533        18.3000         18.8400
  80  5.7614    17.7467        18.1267         18.5133
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
  81  6.2604    17.7200        18.2600         18.6533
  82  6.1151    19.1133        18.2867         18.6467
  83  6.0637    18.3333        18.3000         18.5600
  84  6.1237    17.8200        18.4067         18.5267
  85  6.2494    19.4267        18.4467         18.7133
  86  6.3357    17.3267        18.5267         18.8333
  87  6.4853    20.1933        18.3000         18.7467
  88  6.0060    18.4067        18.5467         18.9533
  89  6.9173    20.9533        18.5467         18.8867
  90  6.0244    20.5133        18.7067         18.9867
  91  6.0653    19.8333        18.8067         18.7400
  92  6.1080    19.7467        18.8067         18.9000
  93  5.8711    18.8200        18.8067         18.8333
  94  6.2138    18.7533        19.0000         19.1267
  95  5.9023    17.9733        19.1600         18.6200
  96  6.1584    18.8467        19.0000         19.0467
  97  6.0768    20.3067        18.9600         19.0600
