Preparing directory CIFAR10_VGG16BN_100E
Using model VGG16BN
Loading dataset: CIFAR10
Files already downloaded and verified
Files already downloaded and verified
Preparing model
SWA and ASWA training
----  -------  ---------  -------------  --------------
  ep     time    Val-acc    SWA-val-acc    ASWA-val-acc
----  -------  ---------  -------------  --------------
   1  11.7480     9.8067        11.4200         11.2733
   2  9.7236    10.1267        15.6200         15.6067
   3  9.5933    13.9400        15.9467         15.7733
   4  9.6723    12.1533        18.3000         18.5733
   5  9.5884    14.9933        18.6667         18.9533
   6  9.3377    17.2800        18.6600         18.5867
   7  9.4210    17.2600        18.8600         19.0667
   8  9.5041    18.0067        19.7467         19.6867
   9  9.5309    17.5600        20.3933         20.5733
  10  9.3437    16.8467        21.2933         21.1333
  11  9.3827    17.5267        21.9267         22.3467
  12  9.1771    19.0000        22.8533         22.7000
  13  9.3702    16.7800        23.2533         23.4067
  14  9.5068    22.2133        23.6933         23.5600
  15  9.3181    21.9733        23.8400         23.6867
  16  9.3899    23.5667        24.3400         23.9733
  17  9.3871    24.6667        24.6600         24.4333
  18  9.4124    24.3800        25.2600         25.4533
  19  9.4613    24.2533        25.8067         26.0400
  20  9.3333    22.8800        27.0133         26.4000
  21  9.4645    24.3867        27.3800         27.7467
  22  9.3079    26.9133        27.9800         27.7400
  23  9.7820    25.0533        27.7800         27.7733
  24  9.5553    24.8733        27.9000         28.1600
  25  9.7649    24.1667        28.3933         28.1733
  26  9.4960    22.9933        28.6467         28.6933
  27  9.3570    25.8067        28.9933         28.6333
  28  9.4510    27.1333        28.9133         29.4133
  29  9.7887    28.2800        29.6533         29.8733
  30  9.5197    28.0133        29.7733         30.0733
  31  9.5877    27.5933        29.8000         29.9733
  32  10.0946    25.7133        30.4267         30.3800
  33  9.5092    23.4133        30.4267         30.5000
  34  9.1965    26.0000        31.0800         31.0467
  35  9.5062    30.2000        31.0333         31.1467
  36  9.2650    33.1133        31.6400         31.4867
  37  9.6430    31.8267        31.4267         31.9400
  38  9.4452    30.8467        31.8133         31.6000
  39  9.6365    31.8400        32.0000         32.1267
  40  9.4229    32.1400        32.4333         32.1133
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
  41  9.6829    31.2533        32.3067         32.5667
  42  9.4160    29.5800        32.2867         32.5000
  43  9.6736    30.7800        32.6867         33.0533
  44  9.2623    29.8333        33.0467         33.4000
  45  9.6142    32.4933        32.9867         33.8667
  46  10.0939    33.0267        33.4133         33.6933
  47  9.5720    33.0867        33.7133         33.8933
  48  9.7091    33.4600        33.7267         34.1133
  49  9.2642    34.3800        34.3333         34.4667
  50  9.8212    36.3600        34.4733         34.9200
  51  9.4424    37.4267        34.6867         34.8200
  52  9.1698    38.4867        34.8200         35.3800
  53  9.9490    38.0867        34.9200         35.5467
  54  9.2454    39.0333        35.3733         35.3800
  55  9.3833    36.5067        35.5200         35.5467
  56  9.3703    36.9467        35.9333         35.9200
  57  9.4684    37.1800        35.9867         36.2867
  58  9.7844    38.2400        35.8400         36.2800
  59  10.0555    41.1067        36.2733         36.5600
  60  9.8516    42.1800        36.4667         36.5733
  61  9.8453    41.2667        36.6933         37.3467
  62  9.5693    38.8333        37.0333         37.1467
  63  9.6063    42.5333        36.6933         37.8333
  64  9.6700    42.8267        37.5600         37.6667
  65  9.6350    42.7333        37.3800         37.7400
  66  9.3344    44.0867        37.5400         37.9600
  67  9.1177    44.6933        37.5533         38.1533
  68  9.4637    45.7200        38.1667         38.2933
  69  9.5227    43.7667        38.0000         38.5800
  70  10.1195    40.9600        38.2400         38.7467
  71  9.4114    44.2000        38.7800         38.9400
  72  9.4231    45.0000        38.8733         39.2667
  73  9.3233    46.6867        38.6600         39.4600
  74  9.7176    45.4267        39.2267         39.5400
  75  9.6925    42.9067        39.3333         40.1200
  76  9.8714    44.7867        39.6667         40.0800
  77  9.2231    46.6533        39.6800         40.3200
  78  10.1775    48.0200        39.6200         40.4333
  79  9.3547    46.0400        40.0800         40.8000
  80  9.4805    45.8333        40.3800         40.7533
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
  81  9.8011    46.7800        40.7800         40.6933
  82  9.1370    47.2067        40.4467         41.0267
  83  9.4712    47.2200        40.8533         41.4200
  84  9.8889    42.0333        40.7200         42.0600
  85  9.4288    43.3933        41.0000         41.8467
  86  9.5217    39.0267        41.5867         42.3267
  87  9.8167    39.2200        41.2267         42.0600
  88  9.9839    40.6533        41.5933         42.3600
  89  9.5635    45.7600        41.6933         42.8800
  90  9.4276    49.7667        41.8333         42.6267
  91  9.7532    50.7333        42.2800         42.8067
  92  9.4420    51.5800        42.3000         43.0933
  93  10.0524    50.3200        42.3733         43.2733
  94  9.4016    46.2200        42.2333         43.4133
  95  9.4173    48.7467        42.5800         43.6800
  96  9.6205    51.7867        42.8800         43.9933
