Preparing directory CIFAR10_VGG19BN_300E
Using model VGG19BN
Loading dataset: CIFAR10
Files already downloaded and verified
Files already downloaded and verified
Preparing model
SWA and ASWA training
----  -------  ---------  -------------  --------------
  ep     time    Val-acc    SWA-val-acc    ASWA-val-acc
----  -------  ---------  -------------  --------------
   1  12.9651     9.9867        12.2067         12.1667
   2  10.3029     9.9867        13.7933         14.1667
   3  10.4940    10.0867        14.3867         14.3333
   4  10.4398    10.1267        17.1600         16.9467
   5  10.3437    10.2000        17.0467         17.1600
   6  9.9312     9.7733        17.8867         17.8067
   7  10.2345     9.9867        16.7200         16.9733
   8  10.1647    10.3267        17.1200         16.8067
   9  10.0586    10.8933        17.6000         18.0067
  10  10.3099    10.7000        18.3533         18.9067
  11  10.2969    11.3867        18.9867         19.4000
  12  10.2773    12.5800        19.3933         19.3733
  13  9.9705    13.5933        19.3467         19.2733
  14  9.9978    13.8067        19.8467         19.3800
  15  10.2459    13.9867        19.9400         19.8133
  16  10.0383    13.3933        19.9333         20.3333
  17  10.3442    13.0467        20.2667         20.6000
  18  10.2447    12.3400        20.3667         20.5733
  19  10.4067    12.7067        20.9067         20.8600
  20  10.1020    14.4867        20.7867         21.0267
  21  10.0467    16.1067        21.0800         21.6067
  22  10.2951    16.4467        20.9867         21.1267
  23  10.0375    16.1733        20.9267         21.1267
  24  10.0528    15.1000        20.8067         21.3667
  25  10.3245    15.5200        21.3533         21.3200
  26  10.2733    15.4333        21.0000         21.1933
  27  10.6031    15.8733        21.1133         21.6000
  28  10.1114    15.5533        21.1533         21.6267
  29  10.7637    16.0933        21.3467         21.9267
  30  10.1615    16.8867        21.3600         21.6467
  31  10.0676    18.8600        21.6400         21.7067
  32  9.9268    18.4800        21.6933         22.0600
  33  10.1927    19.3800        21.7467         22.3200
  34  10.1136    20.2533        22.0400         22.2533
  35  10.0740    20.6333        21.8600         22.1800
  36  10.5255    22.0867        21.8533         22.6800
  37  10.3807    22.2867        21.8733         22.4867
  38  10.1674    23.7533        22.3400         22.7000
  39  10.1537    22.9067        22.4267         23.2267
  40  10.6313    22.7533        22.5000         23.1933
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
  41  9.9334    22.1667        22.6400         22.9467
  42  9.8746    22.5667        22.6000         23.4200
  43  10.3826    20.9000        22.7933         23.8600
  44  10.0792    21.9200        22.5933         23.7933
  45  10.2363    22.3467        22.8267         23.6333
  46  10.3080    23.2733        22.9000         23.9400
  47  10.5431    24.4400        22.7133         24.0667
  48  10.2581    25.4067        22.8133         25.3533
  49  10.2206    25.6800        23.4267         25.1800
  50  10.4347    26.0467        23.4533         25.8133
  51  10.0528    25.8000        23.6933         26.0600
  52  9.9119    25.5067        23.7267         26.0000
  53  10.4576    28.6000        24.0333         26.1533
  54  10.4211    30.2467        24.0600         26.3667
  55  10.8240    30.5133        23.9400         26.6267
  56  10.1614    30.2133        24.1933         26.7000
  57  10.2656    28.1000        24.9733         27.1467
  58  10.2982    27.9867        25.0933         27.2933
  59  10.2621    28.2000        25.6867         27.6000
  60  9.9529    26.7800        26.2533         27.7667
  61  9.9810    26.6600        26.1267         27.9600
  62  10.2520    27.4467        26.4867         28.0067
  63  10.1173    27.4933        26.4800         28.3400
  64  9.9358    27.1333        26.8933         28.5467
  65  10.1044    30.3800        27.1467         28.7667
  66  10.3205    31.4067        27.0533         28.9000
  67  10.0786    32.5800        27.2933         29.1000
  68  9.8724    31.3667        27.3733         29.4867
  69  10.3888    29.5067        27.5267         29.7067
  70  10.3237    32.8200        28.0267         29.5200
  71  10.1443    34.1600        27.7067         29.8067
  72  10.1385    31.1133        28.2333         29.8933
  73  10.4451    27.8667        28.4267         30.0800
  74  10.2866    23.5867        28.4600         30.4600
  75  10.6032    23.4000        28.9133         30.2667
  76  10.2681    28.1133        28.7600         30.5933
  77  10.5888    30.3733        28.9867         30.9600
  78  12.1147    26.3867        29.4467         30.6533
  79  12.0076    25.7267        29.1000         31.3133
  80  12.0667    27.6800        29.0267         31.0467
----  -------  ---------  -------------  --------------
  ep     time    Val-acc    SWA-val-acc    ASWA-val-acc
----  -------  ---------  -------------  --------------
  81  11.1483    32.4733        29.5800         31.2533
  82  11.0157    33.5933        29.5400         31.6133
  83  10.8214    32.8400        29.5533         31.4133
  84  10.9318    33.1667        29.8333         31.9467
  85  11.2609    32.8467        29.9067         31.6133
  86  10.8903    33.5467        30.0467         32.2800
  87  10.0033    33.3200        30.1000         32.2400
  88  10.4272    32.7733        30.8133         32.3867
  89  10.1489    28.7800        30.1733         32.3733
  90  10.2075    26.8133        30.8600         32.7733
  91  9.9629    32.0133        30.5600         32.8867
  92  9.9103    31.0733        30.5333         33.0133
  93  10.3010    31.8000        30.9533         33.4400
  94  10.4336    24.2467        31.0733         33.3067
  95  9.7893    31.5600        31.3867         33.4467
  96  10.2158    35.9533        31.0533         33.7533
