Preparing directory CIFAR10_VGG19BN_400E
Using model VGG19BN
Loading dataset: CIFAR10
Files already downloaded and verified
Files already downloaded and verified
Preparing model
SWA and ASWA training
----  -------  ---------  -------------  --------------
  ep     time    Val-acc    SWA-val-acc    ASWA-val-acc
----  -------  ---------  -------------  --------------
   1  12.2047    10.0067        12.2200         12.1733
   2  11.2216     9.9867        14.0467         14.4067
   3  9.9512    10.0867        14.4667         14.4333
   4  9.8967    10.1267        15.6000         15.7600
   5  9.8945    10.7533        18.7267         18.5933
   6  9.9535     9.7733        17.7600         18.0600
   7  9.6483     9.2933        17.4000         17.6200
   8  10.0993    12.4133        17.8333         17.9400
   9  9.5584    12.6400        18.1600         18.2867
  10  10.0826    13.9667        18.7133         18.5333
  11  9.8426    13.4600        18.7133         18.3533
  12  10.5582    13.7067        18.7133         18.4600
  13  10.3358    14.7067        18.9333         18.4267
  14  9.9313    16.9000        18.5600         18.6067
  15  10.1776    16.1467        19.1533         19.0267
  16  10.0136    15.1133        19.8667         19.6400
  17  9.9263    14.9933        20.3333         20.4867
  18  10.3804    14.3200        20.5133         21.0133
  19  9.8007    14.3800        20.8933         20.5267
  20  9.8559    16.3400        20.7267         21.1667
  21  9.8661    17.5667        21.3800         21.7333
  22  10.3435    18.2333        21.3800         21.4933
  23  10.0908    17.8267        22.0200         21.1067
  24  9.9448    16.0400        21.8267         21.6667
  25  10.4053    16.9667        22.5667         21.5733
  26  10.1147    16.2267        22.3067         22.3533
  27  11.0732    16.5400        22.6600         22.0000
  28  10.1401    15.4067        22.3933         21.6133
  29  10.0698    16.0200        22.3400         21.6667
  30  10.0241    16.6867        22.0600         21.8800
  31  10.4532    17.9400        22.0733         21.9200
  32  10.0048    17.6400        22.1067         22.0400
  33  10.2239    18.4533        22.2867         22.0600
  34  9.9635    19.4133        22.1933         22.2000
  35  10.2260    20.2200        22.4400         22.5733
  36  9.9127    20.0267        22.5333         22.7800
  37  10.0509    20.1067        22.4333         23.1933
  38  9.6802    21.5933        23.0000         23.8800
  39  10.3397    23.6933        22.8867         24.2400
  40  10.1718    23.3800        23.1600         24.5467
----  -------  ---------  -------------  --------------
  ep     time    Val-acc    SWA-val-acc    ASWA-val-acc
----  -------  ---------  -------------  --------------
  41  10.2098    23.1400        23.0000         23.2933
  42  9.9585    23.0267        23.0467         23.5733
  43  9.6600    20.4333        23.5600         23.9333
  44  10.3308    20.4533        23.1067         23.9067
  45  10.2600    21.3600        23.5867         24.0133
  46  10.1602    21.9267        23.3267         24.3533
  47  10.0538    21.7733        23.4133         23.9467
  48  10.0320    23.7600        23.2800         25.2400
  49  10.1411    26.6333        23.6867         25.5800
  50  10.5251    25.9067        24.3600         25.9067
  51  10.4503    24.9400        24.8800         26.0733
  52  10.0542    23.5467        25.0933         26.4533
  53  10.2843    26.8067        25.2733         26.1867
  54  10.1755    28.5800        25.3000         26.4667
  55  10.6551    30.4000        25.3800         26.8600
  56  9.9925    30.5267        25.3333         26.8667
  57  9.8465    29.3067        25.7400         27.2267
  58  10.0603    28.2067        25.9533         27.3267
  59  10.4526    26.8733        26.1267         27.6533
  60  10.2735    28.1933        26.2333         27.9267
  61  10.0442    29.4600        26.2400         28.0200
  62  10.1273    30.6133        26.6600         28.4000
  63  10.2752    31.9333        26.7133         28.4667
  64  10.1344    33.1600        27.0600         28.4733
  65  10.2022    33.0667        27.3933         28.8467
  66  10.1871    31.7133        27.4667         28.9600
  67  10.1276    32.8133        27.7733         29.2800
  68  9.9884    31.3533        27.7400         29.4867
  69  10.1698    30.4800        27.8600         29.9400
  70  10.3485    31.6933        28.0467         29.6733
  71  9.9481    26.9133        28.1867         29.9867
  72  10.2030    25.5267        28.4667         30.0733
  73  9.9216    23.9600        28.9667         30.3867
  74  10.0360    24.3067        28.9067         30.4667
  75  11.0208    22.5600        29.0000         30.6733
  76  10.1977    26.3933        29.1600         30.8667
  77  10.4286    29.6667        29.2067         31.0800
  78  10.6018    29.4000        29.5933         31.0600
  79  10.7876    23.7467        29.6867         31.6800
  80  10.7248    30.9467        29.6600         31.7533
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
  81  9.8663    35.1067        30.1333         31.7933
  82  11.4449    36.0000        30.1333         32.2533
  83  11.6663    36.1000        29.9733         31.7200
  84  11.9086    30.3200        30.3000         32.0933
  85  11.5024    26.7267        30.3800         32.0067
  86  11.5051    35.1400        30.3933         33.0600
  87  11.1323    33.3200        30.5000         33.1200
  88  11.0607    27.7933        30.9933         33.2867
  89  11.3175    29.8667        30.8333         33.2933
  90  11.4242    31.1467        31.1800         33.6133
  91  10.8534    30.1067        31.0400         33.7867
  92  9.8757    33.9400        31.2067         34.1400
  93  10.0010    35.1867        31.7400         34.2533
  94  9.9729    32.0467        31.6000         34.2267
  95  10.1170    30.8667        31.8600         34.5533
  96  9.9264    36.2333        31.7333         34.6800
