Preparing directory CIFAR10_VGG19_400E
Using model VGG19
Loading dataset: CIFAR10
Files already downloaded and verified
Files already downloaded and verified
Preparing model
SWA and ASWA training
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
   1  6.6732    10.1267        10.1267         10.1267
   2  4.2190     9.4867        10.9267         10.9933
   3  4.3694     9.4867         9.4867          9.4867
   4  4.6570     9.4867         9.4867          9.4867
   5  4.2754     9.4867         9.4867          9.4867
   6  4.3896     9.4867         9.4867          9.4867
   7  4.4337     9.4867         9.4867          9.4867
   8  4.3959     9.4867         9.4867          9.4867
   9  4.3630     9.4867         9.4867          9.4867
  10  3.9932     9.4867         9.4867          9.4867
  11  4.4218    10.0867         9.4867          9.4867
  12  4.2480     9.4867         9.4867          9.4867
  13  4.0038     9.4867         9.4867          9.4867
  14  4.4567    11.1000         9.4867          9.4867
  15  4.3247     9.8600         9.4867          9.4733
  16  4.1579     9.8667         9.4867         12.1133
  17  4.4211    11.6133         9.4867         12.4667
  18  4.5051     9.4867         9.4867         10.1933
  19  4.1486     9.4867         9.4867          9.4933
  20  4.4632     9.4867         9.4867          9.4867
  21  4.3952     9.4867         9.4867          9.4867
  22  4.3758     9.7133         9.4867          9.4867
  23  5.0716     9.5467         9.4867          9.4867
  24  4.4124     9.4867         9.4867          9.4867
  25  4.9694     9.4867         9.4867          9.4867
  26  4.3050     9.4867         9.4867          9.4867
  27  4.1480     9.4867         9.4867          9.4867
  28  4.3571     9.4867         9.4867          9.4867
  29  4.4632     9.4800         9.4867          9.4867
  30  4.4465    12.3000         9.4867          9.4733
  31  4.2348    11.8800         9.4867          9.7067
  32  4.3123    12.4933         9.4867         10.2733
  33  4.3837     9.8333         9.4867         10.6600
  34  4.4647    11.1667         9.4867         11.4667
  35  4.2343     9.9933         9.4867         12.4200
  36  4.4172    12.9400         9.4867         12.6400
  37  4.4617     9.7867         9.4867         12.5533
  38  4.3570    11.4733         9.4867         12.3533
  39  4.1376    11.8867         9.4867         12.6933
  40  4.1681    11.6933         9.4867         12.7733
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
  41  4.2865    12.5600         9.4867         12.7667
  42  4.4601    12.6800         9.4867         12.7533
  43  4.1730    14.8067         9.4867         12.7400
  44  4.3138    15.0467         9.4867         12.8600
  45  4.4135    11.3200         9.4867         12.6933
  46  4.5087    14.8533         9.4867         12.7533
  47  4.1902     9.5467         9.4867         12.6800
  48  4.4672     9.4800         9.4867         12.2933
  49  4.3860     9.4867         9.4867         11.5400
  50  4.6544     9.4867         9.4867         10.8600
  51  4.8208     9.4867         9.4867         10.0667
  52  4.5032     9.4867         9.4867          9.6067
  53  4.5589     9.4867         9.4867          9.4800
  54  4.4797     9.4867         9.4867          9.4867
  55  4.3209     9.4867         9.4867          9.4867
  56  4.5680     9.4867         9.4867          9.4867
  57  4.1835     9.4867         9.4867          9.4867
  58  4.4742     9.4867         9.4867          9.4867
  59  4.2271     9.4867         9.4867          9.4867
  60  4.1405     9.4867         9.4867          9.4867
  61  4.2765     9.4867         9.4867          9.4867
  62  4.6646     9.4867         9.4867          9.4867
  63  4.2746     9.4867         9.4867          9.4867
  64  4.5884     9.4867         9.4867          9.4867
  65  4.4068     9.4867         9.4867          9.4867
  66  4.1662     9.4867         9.4867          9.4867
  67  4.1865     9.4867         9.4867          9.4867
  68  4.4905     9.4867         9.4867          9.4867
  69  4.7067     9.4867         9.4867          9.4867
  70  4.5330     9.4867         9.4867          9.4867
  71  4.5753     9.4867         9.4867          9.4867
  72  4.5331     9.4867         9.4867          9.4867
  73  4.5340     9.4867         9.4867          9.4867
  74  4.4166     9.8600         9.4867          9.4867
  75  4.7075     9.8600         9.4867          9.4867
  76  4.4044     9.8600         9.4867          9.4867
  77  4.2539     9.8600         9.4867          9.4867
  78  4.4920     9.8600         9.4867          9.4867
  79  4.1626     9.8600         9.4867          9.4867
  80  4.7509     9.8600         9.4867          9.4867
----  ------  ---------  -------------  --------------
  ep    time    Val-acc    SWA-val-acc    ASWA-val-acc
----  ------  ---------  -------------  --------------
  81  4.5505    10.1533         9.4867          9.4867
  82  4.5842     9.9800         9.4867          9.4867
  83  4.5924    12.2267         9.4867          9.4867
  84  4.6696     9.9867         9.4867          9.4867
  85  4.3176    10.2133         9.4867          9.4867
  86  4.2816     9.8600         9.4867          9.4867
  87  4.5374     9.8600         9.4867          9.4867
  88  4.0617     9.8600         9.4867          9.4867
  89  4.5274     9.8600         9.4867          9.4867
  90  4.4196     9.8600         9.4867          9.4867
  91  4.3439     9.8600         9.4867          9.8600
  92  4.3876     9.8600         9.4867          9.8600
  93  4.3838     9.8600         9.4867          9.8600
  94  4.3196     9.8600         9.4867          9.8600
  95  4.4063     9.8600         9.4867          9.8600
  96  4.4937     9.8600         9.4867          9.8600
  97  4.3627     9.8600         9.4867          9.8600
