Preparing directory CIFAR10_VGG19BN_200E
Using model VGG19BN
Loading dataset: CIFAR10
Files already downloaded and verified
Files already downloaded and verified
Preparing model
SWA and ASWA training
----  -------  ---------  -------------  --------------
  ep     time    Val-acc    SWA-val-acc    ASWA-val-acc
----  -------  ---------  -------------  --------------
   1  13.6881    10.0333        12.2467         12.3133
   2  12.4208     9.9867        14.0333         14.2333
   3  11.4216    10.0867        14.5067         14.4667
   4  11.5682    10.1267        16.8267         16.7200
   5  11.0410    10.6200        17.0733         17.1400
   6  11.0180     9.7733        18.4067         18.4067
   7  11.1647     9.0333        17.1133         17.5000
   8  11.2193    10.8400        17.4400         17.3667
   9  11.3380    11.7067        17.9267         18.3800
  10  11.2670    13.0667        18.6800         18.2600
  11  11.5938    13.2000        18.1667         17.9600
  12  11.2480    13.6200        18.5600         17.8733
  13  11.1117    14.8200        18.4667         18.3267
  14  11.0637    15.4267        18.5067         19.1133
  15  11.5164    15.1533        18.7067         19.3667
  16  11.2128    14.9200        18.6667         19.7133
  17  11.0706    14.1400        19.1000         19.7400
  18  11.7989    13.5000        19.6333         20.2133
  19  11.0389    14.0533        20.1733         20.6333
  20  11.6865    15.3400        20.2867         21.1933
  21  11.3916    17.2733        20.7400         21.7267
  22  11.0731    17.5000        20.8067         21.4733
  23  11.3185    16.0333        21.3200         21.1400
  24  11.3707    14.8267        21.4867         21.6600
  25  11.7373    15.0467        21.8467         21.7533
  26  11.4574    15.1400        21.2333         22.1800
  27  10.9561    15.7333        21.5933         21.3667
  28  11.7851    15.2667        21.3733         21.5600
  29  11.9775    15.5400        21.1200         21.6400
  30  11.5858    16.8600        21.4667         21.3667
  31  11.6503    18.5467        21.9400         21.7200
  32  10.8730    18.6133        22.2067         21.9933
  33  11.3828    18.4000        22.3200         21.9933
  34  11.5018    18.5267        22.7600         22.1400
  35  10.8571    18.5600        22.4533         22.2467
  36  11.6923    19.7867        22.4800         22.3467
  37  11.2285    21.6067        22.7400         22.3667
  38  11.1638    22.2533        22.9467         22.2667
  39  11.0537    22.0000        22.8000         23.0533
  40  10.9319    21.4933        22.7667         23.2467
----  -------  ---------  -------------  --------------
  ep     time    Val-acc    SWA-val-acc    ASWA-val-acc
----  -------  ---------  -------------  --------------
  41  11.2601    20.7200        23.1000         23.0933
  42  11.5801    20.8467        23.0133         23.5133
  43  11.3907    18.9400        23.2067         23.9333
  44  11.6044    18.4800        23.3067         23.7667
  45  11.2815    18.8533        23.3000         23.7133
  46  11.0051    20.1733        23.2533         24.2333
  47  11.5662    21.8667        23.3667         24.1933
  48  11.1695    24.7467        23.2267         24.1867
  49  11.9804    26.8333        23.7133         24.5467
  50  11.9171    24.7867        23.6267         25.6533
  51  11.0675    26.4200        23.9133         25.7333
  52  11.1475    25.8133        23.9667         26.2400
  53  11.0452    28.4733        24.1333         26.0800
  54  11.1366    26.6867        24.4067         26.1867
  55  10.9985    26.0533        24.2600         26.2533
  56  11.8191    26.4467        24.2133         26.6533
  57  11.3490    26.7600        25.0133         26.9067
  58  11.1207    30.0000        25.2200         26.8533
  59  11.2120    26.9867        26.1867         27.2467
  60  11.5434    25.0200        26.0667         27.4200
  61  11.3161    27.7667        25.9933         27.6267
  62  10.4128    30.3400        26.5133         27.8600
  63  11.2845    29.5067        26.4933         27.9267
  64  11.3050    25.0133        26.8467         28.1267
  65  11.4595    24.1933        26.9267         28.2067
  66  11.7393    26.4533        26.9400         28.3200
  67  10.8456    31.3800        27.4067         28.5400
  68  11.2462    32.3000        27.1733         28.7800
  69  11.2997    30.6133        27.6467         29.0267
  70  11.4794    34.5800        27.4667         29.1533
  71  11.2470    33.5667        27.7400         29.3000
  72  11.1286    31.8800        28.1467         29.3667
  73  11.5941    31.6600        28.2200         29.8467
  74  11.3001    26.3133        28.2067         29.7000
  75  11.6589    25.5533        28.5600         29.9800
  76  11.1850    24.8333        28.5400         30.0067
  77  11.3089    30.7933        28.7200         30.3267
  78  11.2656    28.4400        28.7800         30.5733
  79  11.5754    25.9933        29.0667         30.6667
  80  10.9272    29.4200        28.7133         30.6133
----  -------  ---------  -------------  --------------
  ep     time    Val-acc    SWA-val-acc    ASWA-val-acc
----  -------  ---------  -------------  --------------
  81  11.9027    32.9533        29.3867         30.7600
  82  11.3054    33.4667        29.2467         31.3467
  83  11.4011    32.0800        29.1933         31.3000
  84  12.1068    30.2067        29.5467         31.4400
  85  11.7015    29.9933        29.5333         31.5267
  86  10.7967    34.0267        29.7733         32.1800
  87  11.3851    34.6267        29.7867         32.4467
  88  11.4644    32.3933        30.2000         32.3067
  89  11.2618    31.0533        29.8133         32.8533
  90  10.7523    31.8933        30.2800         32.8400
  91  11.2331    32.4067        30.4400         33.1333
  92  11.4059    32.2000        30.5467         33.1600
  93  11.2762    29.4600        30.8133         33.2800
  94  11.1409    21.2200        30.9200         33.6533
  95  10.9170    30.5467        31.1533         33.9867
  96  11.4197    33.9400        31.2600         33.9333
